ts,cycle,side,status,entryPrice,exitPrice,qty,bps,pnl,feeUsdt,pnlNet,exitReason,holdSec,msg
2026-08-22T11:50:51Z,1,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.0 mom=0.0000 spread=7.1,0,
2026-08-22T11:50:55Z,2,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.0 mom=0.0000 spread=7.1,0,
2026-08-22T11:50:59Z,3,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.0 mom=0.0000 spread=7.1,0,
2026-08-22T11:51:03Z,4,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.0 mom=0.0000 spread=7.1,0,
2026-08-22T11:51:07Z,5,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.0 mom=0.0000 spread=7.1,0,
2026-08-22T11:51:11Z,6,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.0 mom=0.0000 spread=7.1,0,
2026-08-22T11:51:15Z,7,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.0 mom=0.0000 spread=7.1,0,
2026-08-22T11:51:19Z,8,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.0 mom=0.0000 spread=4.9,0,
2026-08-22T11:51:24Z,9,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.0 mom=0.0000 spread=5.4,0,
2026-08-22T11:51:28Z,10,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.0 mom=0.0000 spread=5.4,0,
2026-08-22T11:51:31Z,11,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.0 mom=0.0000 spread=5.4,0,
2026-08-22T11:51:35Z,12,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.0 mom=0.0000 spread=5.4,0,
2026-08-22T11:51:40Z,13,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.0 mom=0.0000 spread=5.4,0,
2026-08-22T11:51:44Z,14,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.0 mom=0.0000 spread=5.4,0,
2026-08-22T11:51:48Z,15,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.0 mom=0.0000 spread=5.4,0,
2026-08-22T11:51:52Z,16,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.0 mom=0.0000 spread=5.4,0,
2026-08-22T11:51:56Z,17,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.0 mom=0.0000 spread=5.4,0,
2026-08-22T11:52:00Z,18,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.0 mom=0.0000 spread=7.1,0,
2026-08-22T11:52:04Z,19,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.0 mom=0.0000 spread=5.4,0,
2026-08-22T11:52:09Z,20,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.0 mom=0.0000 spread=5.4,0,
2026-08-22T11:52:12Z,21,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.0 mom=0.0000 spread=5.4,0,
2026-08-22T11:52:16Z,22,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.0 mom=0.0000 spread=5.4,0,
2026-08-22T11:52:20Z,23,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.0 mom=0.0000 spread=5.4,0,
2026-08-22T11:52:24Z,24,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.0 mom=0.0000 spread=5.4,0,
2026-08-22T11:52:29Z,25,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.0 mom=0.0000 spread=5.4,0,
2026-08-22T11:52:33Z,26,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.0 mom=0.0000 spread=5.4,0,
2026-08-22T11:52:37Z,27,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.0 mom=0.0000 spread=5.4,0,
2026-08-22T11:52:40Z,28,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.0 mom=0.0000 spread=5.4,0,
2026-08-22T11:52:44Z,29,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.0 mom=0.0000 spread=5.4,0,
2026-08-22T11:52:48Z,30,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.0 mom=0.0000 spread=5.4,0,
