ts,cycle,side,status,entryPrice,exitPrice,qty,bps,pnl,feeUsdt,pnlNet,exitReason,holdSec,msg
2026-08-22T14:58:40Z,1,SKIP,SKIPPED,,,,,0,,,reason=spread_too_high conf=0.0 mom=0.0000 spread=8.7,0,
2026-08-22T14:58:43Z,2,SKIP,SKIPPED,,,,,0,,,reason=spread_too_high conf=0.0 mom=0.0000 spread=8.7,0,
2026-08-22T14:58:46Z,3,SKIP,SKIPPED,,,,,0,,,reason=spread_too_high conf=0.0 mom=1.0911 spread=8.7,0,
2026-08-22T14:58:50Z,4,SKIP,SKIPPED,,,,,0,,,reason=spread_too_high conf=0.0 mom=0.0000 spread=8.7,0,
2026-08-22T14:58:53Z,5,SKIP,SKIPPED,,,,,0,,,reason=spread_too_high conf=0.0 mom=0.4416 spread=8.7,0,
2026-08-22T14:58:56Z,6,SKIP,SKIPPED,,,,,0,,,reason=spread_too_high conf=0.0 mom=0.0000 spread=8.7,0,
2026-08-22T14:59:01Z,7,SKIP,SKIPPED,,,,,0,,,reason=spread_too_high conf=0.0 mom=-0.0130 spread=8.7,0,
2026-08-22T14:59:06Z,8,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.35 mom=0.0000 spread=7.2,0,
2026-08-22T15:00:31Z,9,SELL,SHORT,78257.00,78483.00,0.0060,-28.8792,-1.3560,0.1000,-1.4560,stop_loss,80.8,paper_mode=paper
2026-08-22T15:00:33Z,10,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.35 mom=0.0000 spread=0.1,0,
2026-08-22T15:00:38Z,11,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.35 mom=0.0000 spread=0.1,0,
2026-08-22T15:00:42Z,12,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.35 mom=0.0000 spread=6.4,0,
2026-08-22T15:00:47Z,13,SKIP,SKIPPED,,,,,0,,,reason=spread_too_high conf=0.0 mom=0.0000 spread=8.9,0,
2026-08-22T15:00:50Z,14,SKIP,SKIPPED,,,,,0,,,reason=spread_too_high conf=0.0 mom=0.0000 spread=11.2,0,
2026-08-22T15:00:59Z,15,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.35 mom=0.0000 spread=7.8,0,
2026-08-22T15:01:04Z,16,SKIP,SKIPPED,,,,,0,,,reason=spread_too_high conf=0.0 mom=-1.6234 spread=9.1,0,
2026-08-22T15:03:37Z,17,BUY,LONG,78428.00,78404.00,0.0060,-3.0601,-0.1440,0.1000,-0.2440,session_end,149.5,paper_mode=paper
