ts,cycle,side,status,entryPrice,exitPrice,qty,bps,pnl,feeUsdt,pnlNet,exitReason,holdSec,msg
2026-08-22T15:04:16Z,1,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.35 mom=0.0000 spread=3.2,0,
2026-08-22T15:04:52Z,2,SELL,SHORT,78403.00,78483.00,0.0060,-10.2037,-0.4800,0.1000,-0.5800,stop_loss,26.1,paper_mode=paper
2026-08-22T15:04:55Z,3,SKIP,SKIPPED,,,,,0,,,reason=spread_too_high conf=0.0 mom=-1.0904 spread=8.5,0,
2026-08-22T15:05:00Z,4,SKIP,SKIPPED,,,,,0,,,reason=spread_too_high conf=0.0 mom=1.0906 spread=8.5,0,
2026-08-22T15:05:04Z,5,SKIP,SKIPPED,,,,,0,,,reason=spread_too_high conf=0.0 mom=0.0000 spread=8.5,0,
2026-08-22T15:07:43Z,6,SELL,SHORT,78458.00,78483.00,0.0060,-3.1864,-0.1500,0.1000,-0.2500,max_hold,150.5,paper_mode=paper
2026-08-22T15:07:47Z,7,SKIP,SKIPPED,,,,,0,,,reason=spread_too_high conf=0.0 mom=-1.3633 spread=12.1,0,
2026-08-22T15:07:51Z,8,SKIP,SKIPPED,,,,,0,,,reason=spread_too_high conf=0.0 mom=0.0000 spread=12.1,0,
2026-08-22T15:07:55Z,9,SKIP,SKIPPED,,,,,0,,,reason=spread_too_high conf=0.0 mom=0.0000 spread=12.1,0,
2026-08-22T15:07:59Z,10,SKIP,SKIPPED,,,,,0,,,reason=spread_too_high conf=0.0 mom=0.0000 spread=12.1,0,
2026-08-22T15:08:03Z,11,SKIP,SKIPPED,,,,,0,,,reason=spread_too_high conf=0.0 mom=0.0130 spread=9.8,0,
2026-08-22T15:08:06Z,12,SKIP,SKIPPED,,,,,0,,,reason=spread_too_high conf=0.0 mom=0.0000 spread=9.8,0,
2026-08-22T15:08:20Z,13,SKIP,SKIPPED,,,,,0,,,reason=spread_too_high conf=0.0 mom=-1.4674 spread=12.1,0,
2026-08-22T15:08:29Z,14,SKIP,SKIPPED,,,,,0,,,reason=spread_too_high conf=0.0 mom=2.7534 spread=8.7,0,
2026-08-22T15:08:33Z,15,SKIP,SKIPPED,,,,,0,,,reason=spread_too_high conf=0.0 mom=-4.5055 spread=8.9,0,
2026-08-22T15:08:38Z,16,SKIP,SKIPPED,,,,,0,,,reason=spread_too_high conf=0.0 mom=0.0000 spread=8.9,0,
2026-08-22T15:08:41Z,17,SKIP,SKIPPED,,,,,0,,,reason=spread_too_high conf=0.0 mom=0.0000 spread=8.9,0,
2026-08-22T15:08:50Z,18,SKIP,SKIPPED,,,,,0,,,reason=spread_too_high conf=0.0 mom=0.0130 spread=8.9,0,
2026-08-22T15:08:55Z,19,SKIP,SKIPPED,,,,,0,,,reason=spread_too_high conf=0.0 mom=0.3377 spread=8.5,0,
2026-08-22T15:08:58Z,20,SKIP,SKIPPED,,,,,0,,,reason=spread_too_high conf=0.0 mom=0.0000 spread=8.5,0,
2026-08-22T15:09:03Z,21,SKIP,SKIPPED,,,,,0,,,reason=spread_too_high conf=0.0 mom=0.0000 spread=8.5,0,
2026-08-22T15:09:08Z,22,SKIP,SKIPPED,,,,,0,,,reason=spread_too_high conf=0.0 mom=-0.0130 spread=8.2,0,
2026-08-22T15:09:12Z,23,SKIP,SKIPPED,,,,,0,,,reason=spread_too_high conf=0.0 mom=-0.0130 spread=8.3,0,
2026-08-22T15:09:16Z,24,SKIP,SKIPPED,,,,,0,,,reason=spread_too_high conf=0.0 mom=0.0000 spread=8.3,0,
