ts,stream,side,kind,px,pnlGross,msg
2026-09-05T07:11:00,ALPHA,LONG,ENTRY,79643.40,0.0000,BOOTSTRAP(H=0→entrée forcée)
2026-09-05T07:11:00,BETA,SHORT,ENTRY,79643.40,0.0000,BOOTSTRAP(H=0→entrée forcée)
2026-09-05T07:21:00,ALPHA,LONG,ENTRY,79648.50,0.0000,BOOTSTRAP(H=0→entrée forcée)
2026-09-05T07:21:00,BETA,SHORT,ENTRY,79648.50,0.0000,BOOTSTRAP(H=0→entrée forcée)
2026-09-05T07:22:00,ALPHA,LONG,EXIT,79655.78,0.7712,trailing_stop net=-0.9888 hold=60s
2026-09-05T07:22:00,BETA,SHORT,EXIT,79648.43,0.0074,trailing_stop net=-1.7526 hold=60s
2026-09-05T07:26:00,ALPHA,LONG,ENTRY,79659.50,0.0000,H=1(SHADOW)
2026-09-05T07:26:00,BETA,SHORT,ENTRY,79659.50,0.0000,H=1(SHADOW)
2026-09-05T07:27:00,ALPHA,LONG,EXIT,79673.78,1.5127,trailing_stop net=-0.2473 hold=60s
2026-09-05T07:27:00,BETA,SHORT,EXIT,79659.43,0.0074,trailing_stop net=-1.7526 hold=60s
2026-09-05T07:31:00,ALPHA,LONG,ENTRY,79679.10,0.0000,H=1(SHADOW)
2026-09-05T07:31:00,BETA,SHORT,ENTRY,79679.10,0.0000,H=1(SHADOW)
2026-09-05T07:32:00,BETA,SHORT,EXIT,79670.49,0.9121,trailing_stop net=-0.8479 hold=60s
2026-09-05T07:34:00,ALPHA,LONG,EXIT,79699.54,2.1652,trailing_stop net=+0.4052 hold=180s
2026-09-05T07:36:00,ALPHA,LONG,ENTRY,79689.90,0.0000,H=1(SHADOW)
2026-09-05T07:36:00,BETA,SHORT,ENTRY,79689.90,0.0000,H=1(SHADOW)
2026-09-05T07:37:00,ALPHA,LONG,EXIT,79692.77,0.3040,trailing_stop net=-1.4560 hold=60s
2026-09-05T07:40:00,BETA,SHORT,EXIT,79684.30,0.5932,trailing_stop net=-1.1668 hold=240s
2026-09-05T07:41:00,ALPHA,LONG,ENTRY,79682.00,0.0000,H=1(SHADOW)
