funding_time,rate
1786752000003,0.00006801
1786780800002,0.00006523
1786809600000,0.00005311
1786838400000,0.00000966
1786867200002,0.00001839
1786896000000,0.00005000
1786924800001,0.00003818
1786953600003,0.00007131
1786982400005,0.00009202
1787011200006,0.00005164
1787040000001,0.00005020
1787068800003,0.00003650
1787097600000,0.00001617
1787126400000,0.00003815
1787155200004,0.00010000
1787184000001,0.00009655
