ts,run_id,unit,cycle,symbol,bid,ask,mid,spread_bps,momentum_bps,regime,decision,side,confidence,reason
16:02:18,ACE_DUO_CLEAN_V4_15M,BETA,1,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V4_15M_LIVE_COLOR.log
16:02:20,ACE_DUO_CLEAN_V4_15M,ALPHA,1,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V4_15M_LIVE_COLOR.log
16:02:23,ACE_DUO_CLEAN_V4_15M,BETA,2,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V4_15M_LIVE_COLOR.log
16:02:25,ACE_DUO_CLEAN_V4_15M,ALPHA,2,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V4_15M_LIVE_COLOR.log
16:02:28,ACE_DUO_CLEAN_V4_15M,BETA,3,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V4_15M_LIVE_COLOR.log
16:02:30,ACE_DUO_CLEAN_V4_15M,ALPHA,3,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V4_15M_LIVE_COLOR.log
16:02:36,ACE_DUO_CLEAN_V4_15M,BETA,4,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,0.5,engine_log:ACE_DUO_CLEAN_V4_15M_LIVE_COLOR.log
16:02:38,ACE_DUO_CLEAN_V4_15M,ALPHA,4,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,0.5,engine_log:ACE_DUO_CLEAN_V4_15M_LIVE_COLOR.log
16:02:42,ACE_DUO_CLEAN_V4_15M,BETA,5,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V4_15M_LIVE_COLOR.log
16:02:47,ACE_DUO_CLEAN_V4_15M,ALPHA,5,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V4_15M_LIVE_COLOR.log
16:02:49,ACE_DUO_CLEAN_V4_15M,BETA,6,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V4_15M_LIVE_COLOR.log
16:02:52,ACE_DUO_CLEAN_V4_15M,ALPHA,6,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V4_15M_LIVE_COLOR.log
16:02:57,ACE_DUO_CLEAN_V4_15M,BETA,7,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,0.5,engine_log:ACE_DUO_CLEAN_V4_15M_LIVE_COLOR.log
16:03:00,ACE_DUO_CLEAN_V4_15M,ALPHA,7,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V4_15M_LIVE_COLOR.log
16:03:06,ACE_DUO_CLEAN_V4_15M,ALPHA,8,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V4_15M_LIVE_COLOR.log
16:03:07,ACE_DUO_CLEAN_V4_15M,BETA,8,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,0.5,engine_log:ACE_DUO_CLEAN_V4_15M_LIVE_COLOR.log
16:03:12,ACE_DUO_CLEAN_V4_15M,BETA,9,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V4_15M_LIVE_COLOR.log
16:03:13,ACE_DUO_CLEAN_V4_15M,ALPHA,9,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,0.1399,engine_log:ACE_DUO_CLEAN_V4_15M_LIVE_COLOR.log
16:03:22,ACE_DUO_CLEAN_V4_15M,ALPHA,10,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,0.5,engine_log:ACE_DUO_CLEAN_V4_15M_LIVE_COLOR.log
16:03:23,ACE_DUO_CLEAN_V4_15M,BETA,10,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V4_15M_LIVE_COLOR.log
16:03:30,ACE_DUO_CLEAN_V4_15M,BETA,11,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,0.2027,engine_log:ACE_DUO_CLEAN_V4_15M_LIVE_COLOR.log
16:03:30,ACE_DUO_CLEAN_V4_15M,ALPHA,11,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,0.2027,engine_log:ACE_DUO_CLEAN_V4_15M_LIVE_COLOR.log
16:03:38,ACE_DUO_CLEAN_V4_15M,ALPHA,12,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,0.1007,engine_log:ACE_DUO_CLEAN_V4_15M_LIVE_COLOR.log
16:03:43,ACE_DUO_CLEAN_V4_15M,BETA,12,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,0.1013,engine_log:ACE_DUO_CLEAN_V4_15M_LIVE_COLOR.log
16:03:44,ACE_DUO_CLEAN_V4_15M,ALPHA,13,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V4_15M_LIVE_COLOR.log
16:03:51,ACE_DUO_CLEAN_V4_15M,BETA,13,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,0.112,engine_log:ACE_DUO_CLEAN_V4_15M_LIVE_COLOR.log
16:03:56,ACE_DUO_CLEAN_V4_15M,ALPHA,14,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V4_15M_LIVE_COLOR.log
16:03:56,ACE_DUO_CLEAN_V4_15M,BETA,14,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V4_15M_LIVE_COLOR.log
