ts,px_close,H_alpha,H_beta,h_src_alpha,h_src_beta,pos_alpha,pos_beta,pnlVirtAlpha,pnlVirtBeta
2026-09-02T17:23:00,77037.50,0,0,CHAMP,CHAMP,,,0.0000,0.0000
2026-09-02T17:24:00,77027.80,0,0,CHAMP,CHAMP,,,0.0000,0.0000
2026-09-02T17:25:00,77034.20,0,0,CHAMP,CHAMP,,,0.0000,0.0000
2026-09-02T17:26:00,77039.40,0,0,CHAMP,CHAMP,77034.2,77034.2,0.0000,0.0000
2026-09-02T17:27:00,77013.60,0,0,SHADOW,SHADOW,,,0.3856,1.5275
2026-09-02T17:28:00,77048.60,1,1,SHADOW,SHADOW,,,0.3856,1.5275
2026-09-02T17:29:00,77067.50,1,1,SHADOW,SHADOW,,,0.3856,1.5275
2026-09-02T17:30:00,77086.80,1,1,SHADOW,SHADOW,,,0.3856,1.5275
2026-09-02T17:31:00,77073.10,1,1,SHADOW,SHADOW,77086.9,77086.9,0.3856,1.5275
2026-09-02T17:32:00,77122.90,1,1,SHADOW,SHADOW,,,3.4184,2.5508
2026-09-02T17:33:00,77147.40,1,1,SHADOW,SHADOW,,,3.4184,2.5508
2026-09-02T17:34:00,77159.30,1,1,SHADOW,SHADOW,,,3.4184,2.5508
2026-09-02T17:35:00,77140.30,1,1,SHADOW,SHADOW,,,3.4184,2.5508
2026-09-02T17:36:00,77147.10,1,1,SHADOW,SHADOW,77140.2,77140.2,3.4184,2.5508
2026-09-02T17:37:00,77151.10,1,1,SHADOW,SHADOW,,77140.2,5.4427,2.5508
2026-09-02T17:38:00,77130.90,1,1,SHADOW,SHADOW,,,5.4427,3.2404
2026-09-02T17:39:00,77107.20,1,1,SHADOW,SHADOW,,,5.4427,3.2404
2026-09-02T17:40:00,77149.90,1,1,SHADOW,SHADOW,,,5.4427,3.2404
2026-09-02T17:41:00,77122.70,1,1,SHADOW,SHADOW,77150.0,77150.0,5.4427,3.2404
2026-09-02T17:42:00,77136.10,1,1,SHADOW,SHADOW,,,5.9098,6.1026
2026-09-02T17:43:00,77174.90,1,1,SHADOW,SHADOW,,,5.9098,6.1026
2026-09-02T17:44:00,77274.90,1,1,SHADOW,SHADOW,,,5.9098,6.1026
2026-09-02T17:45:00,77316.00,1,1,SHADOW,SHADOW,,,5.9098,6.1026
2026-09-02T17:46:00,77331.50,1,1,SHADOW,SHADOW,77316.0,77316.0,5.9098,6.1026
2026-09-02T17:47:00,77321.70,1,1,SHADOW,SHADOW,,,7.0666,8.6905
2026-09-02T17:48:00,77357.20,1,1,SHADOW,SHADOW,,,7.0666,8.6905
2026-09-02T17:49:00,77344.10,1,1,SHADOW,SHADOW,,,7.0666,8.6905
2026-09-02T17:50:00,77337.60,1,1,SHADOW,SHADOW,,,7.0666,8.6905
2026-09-02T17:51:00,77325.20,1,1,SHADOW,SHADOW,77337.5,77337.5,7.0666,8.6905
2026-09-02T17:52:00,77320.90,1,1,SHADOW,SHADOW,77337.5,,7.0666,10.1068
2026-09-02T17:53:00,77303.60,1,1,SHADOW,SHADOW,77337.5,,7.0666,10.1068
2026-09-02T17:54:00,77306.50,1,1,SHADOW,SHADOW,77337.5,,7.0666,10.1068
2026-09-02T17:55:00,77317.30,1,1,SHADOW,SHADOW,77337.5,,7.0666,10.1068
2026-09-02T17:56:00,77288.30,1,1,SHADOW,SHADOW,77337.5,77317.3,7.0666,10.1068
2026-09-02T17:57:00,77352.00,1,1,SHADOW,SHADOW,,,8.5051,12.2572
2026-09-02T17:58:00,77347.40,1,1,SHADOW,SHADOW,,,8.5051,12.2572
2026-09-02T17:59:00,77350.00,1,1,SHADOW,SHADOW,,,8.5051,12.2572
2026-09-02T18:00:00,77310.00,1,1,SHADOW,SHADOW,,,8.5051,12.2572
