ts,cycle,side,status,entryPrice,exitPrice,qty,bps,pnl,exitReason,holdSec,msg
2026-07-16T08:45:49Z,1,SELL,FILLED,64138.30000000,64110.00000000,0.01550000,4.41234021,0.43865000,shock_inversion_stop,radar=short conf=0.9425 size_note=strong_conf_full+entry_25_75_full soft=0 pct=0.04412340 tension=2.67848643 bid_drop=0.00000000 ask_drop=17.41016178
2026-07-16T08:45:59Z,2,SKIP,SKIPPED,,,,,0,radar_block,reason=momentum_too_small conf=0.0009 mom_sig=0.00071264 raw_mom_bps=15.89358938 spread_bps=3.80100000 tension=0.00071264 bid_drop=0.00000000 ask_drop=0.00463213 swarm=0
2026-07-16T08:46:07Z,3,SKIP,SKIPPED,,,,,0,radar_block,reason=spread_too_wide conf=0.0 mom_sig=0.00001468 raw_mom_bps=0.00000000 spread_bps=12.06980000 tension=0.00001468 bid_drop=0.00000000 ask_drop=0.00009544 swarm=0
2026-07-16T08:46:15Z,4,SKIP,SKIPPED,,,,,0,radar_block,reason=spread_too_wide conf=0.0 mom_sig=0.00001753 raw_mom_bps=0.00000000 spread_bps=12.08530000 tension=0.00001753 bid_drop=0.00011392 ask_drop=0.00009538 swarm=0
2026-07-16T08:46:23Z,5,SKIP,SKIPPED,,,,,0,radar_block,reason=spread_too_wide conf=0.0252 mom_sig=0.03019290 raw_mom_bps=0.00000000 spread_bps=11.08860000 tension=0.03019290 bid_drop=0.19625386 ask_drop=0.00106029 swarm=0
2026-07-16T08:46:30Z,6,SKIP,SKIPPED,,,,,0,radar_block,reason=spread_too_wide conf=0.0 mom_sig=0.00001468 raw_mom_bps=0.00000000 spread_bps=14.29680000 tension=0.00001468 bid_drop=0.00000000 ask_drop=0.00009543 swarm=0
2026-07-16T08:46:38Z,7,SKIP,SKIPPED,,,,,0,radar_block,reason=spread_too_wide conf=0.5 mom_sig=0.88638555 raw_mom_bps=0.00000000 spread_bps=9.70710000 tension=0.88638555 bid_drop=5.76150607 ask_drop=4.02192370 swarm=0
2026-07-16T08:46:46Z,8,SKIP,SKIPPED,,,,,0,radar_block,reason=spread_too_wide conf=0.0 mom_sig=0.00000000 raw_mom_bps=0.00000000 spread_bps=9.58040000 tension=0.00000000 bid_drop=0.00000000 ask_drop=0.00000000 swarm=0
2026-07-16T08:46:54Z,9,SKIP,SKIPPED,,,,,0,radar_block,reason=spread_too_wide conf=0.5 mom_sig=1.74873693 raw_mom_bps=0.00000000 spread_bps=9.28620000 tension=1.74873693 bid_drop=11.36679005 ask_drop=0.00000000 swarm=0
2026-07-16T08:47:02Z,10,SKIP,SKIPPED,,,,,0,radar_block,reason=momentum_too_small conf=0.3019 mom_sig=0.00000000 raw_mom_bps=6.58243644 spread_bps=2.19750000 tension=0.00000000 bid_drop=0.00000000 ask_drop=0.00000000 swarm=0
2026-07-16T08:47:11Z,11,SKIP,SKIPPED,,,,,0,radar_block,reason=momentum_too_small conf=0.0028 mom_sig=0.00185014 raw_mom_bps=0.00000000 spread_bps=1.30860000 tension=0.00185014 bid_drop=0.00000000 ask_drop=0.01202589 swarm=0
2026-07-16T08:47:20Z,12,SKIP,SKIPPED,,,,,0,radar_block,reason=momentum_too_small conf=0.2366 mom_sig=0.00000000 raw_mom_bps=0.00000000 spread_bps=5.18560000 tension=0.00000000 bid_drop=0.00000000 ask_drop=0.00000000 swarm=1
