ts,cycle,side,status,entryPrice,exitPrice,qty,bps,pnl,feeUsdt,pnlNet,exitReason,holdSec,msg
2026-09-01T14:10:42Z,1,SKIP,SKIPPED,,,,,0,regime_gate,,reason=COMPRESSE tension=0.00055500 threshold=0.05
2026-09-01T14:10:51Z,2,SKIP,SKIPPED,,,,,0,duo_wait,,reason=no_state mode=none
2026-09-01T14:10:56Z,3,SKIP,SKIPPED,,,,,0,regime_gate,,reason=COMPRESSE tension=0.00000000 threshold=0.05
2026-09-01T14:11:04Z,4,SKIP,SKIPPED,,,,,0,radar_block,,reason=spread_too_wide conf=0.5 mom_sig=3.08238450 raw_mom_bps=0.00000000 spread_bps=35.50470000 tension=3.08238450 bid_drop=20.03549927 ask_drop=0.00000000 swarm=0
2026-09-01T14:11:10Z,5,SKIP,SKIPPED,,,,,0,regime_gate,,reason=COMPRESSE tension=0.00128574 threshold=0.05
2026-09-01T14:11:16Z,6,SKIP,SKIPPED,,,,,0,regime_gate,,reason=COMPRESSE tension=0.00000000 threshold=0.05
2026-09-01T14:11:25Z,7,SKIP,SKIPPED,,,,,0,radar_block,,reason=low_confidence conf=0.2082 mom_sig=0.24238380 raw_mom_bps=0.00000000 spread_bps=7.75510000 tension=0.24238380 bid_drop=1.57549471 ask_drop=0.00000000 swarm=0
2026-09-01T14:11:33Z,8,SKIP,SKIPPED,,,,,0,tactic_mismatch,,mom=long structure=short
2026-09-01T14:11:39Z,9,SKIP,SKIPPED,,,,,0,regime_gate,,reason=COMPRESSE tension=0.00000000 threshold=0.05
2026-09-01T14:11:44Z,10,SKIP,SKIPPED,,,,,0,regime_gate,,reason=COMPRESSE tension=0.00000000 threshold=0.05
2026-09-01T14:11:52Z,11,SKIP,SKIPPED,,,,,0,regime_gate,,reason=COMPRESSE tension=0.00501142 threshold=0.05
2026-09-01T14:11:58Z,12,SKIP,SKIPPED,,,,,0,regime_gate,,reason=COMPRESSE tension=0.00000000 threshold=0.05
2026-09-01T14:12:08Z,13,SKIP,SKIPPED,,,,,0,regime_gate,,reason=COMPRESSE tension=0.00000000 threshold=0.05
2026-09-01T14:12:21Z,14,SKIP,SKIPPED,,,,,0,radar_block,,reason=spread_too_wide conf=0.2215 mom_sig=0.26578868 raw_mom_bps=2.89625044 spread_bps=13.36740000 tension=0.26578868 bid_drop=1.72762640 ask_drop=0.02277103 swarm=0
