ts,px_close,H_alpha,H_beta,h_src_alpha,h_src_beta,pos_alpha,pos_beta,pnlVirtAlpha,pnlVirtBeta
2026-09-04T05:43:00,80920.00,0,0,CHAMP,CHAMP,,,0.0000,0.0000
2026-09-04T05:44:00,80949.90,0,0,CHAMP,CHAMP,,,0.0000,0.0000
2026-09-04T05:45:00,80978.60,0,0,CHAMP,CHAMP,,,0.0000,0.0000
2026-09-04T05:44:00,80949.90,0,0,CHAMP,CHAMP,,,0.0000,0.0000
2026-09-04T05:45:00,80978.60,0,0,CHAMP,CHAMP,,,0.0000,0.0000
2026-09-04T05:46:00,80926.50,0,0,CHAMP,CHAMP,80978.5,80978.5,0.0000,0.0000
2026-09-04T05:47:00,80885.20,0,0,CHAMP,SHADOW,80978.5,,0.0000,7.2001
2026-09-04T05:48:00,80873.40,0,1,CHAMP,SHADOW,80978.5,,0.0000,7.2001
2026-09-04T05:49:00,80856.10,0,1,CHAMP,SHADOW,80978.5,,0.0000,7.2001
2026-09-04T14:50:00,78828.50,0,0,CHAMP,CHAMP,,,0.0000,0.0000
2026-09-04T14:51:00,78874.60,0,0,CHAMP,CHAMP,78828.5,78828.5,0.0000,0.0000
