ts,run_id,unit,cycle,symbol,bid,ask,mid,spread_bps,momentum_bps,regime,decision,side,confidence,reason
2026-09-01T15:12:40Z,ACE_DUO_CLEAN_V2_15M,BETA,1,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=COMPRESSE tension=0.00000000 threshold=0.05;source=ACE_DUO_CLEAN_V2_15M_BETA_X5.csv
2026-09-01T15:12:45Z,ACE_DUO_CLEAN_V2_15M,BETA,2,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=COMPRESSE tension=0.00000000 threshold=0.05;source=ACE_DUO_CLEAN_V2_15M_BETA_X5.csv
2026-09-01T15:12:50Z,ACE_DUO_CLEAN_V2_15M,BETA,3,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=COMPRESSE tension=0.00028178 threshold=0.05;source=ACE_DUO_CLEAN_V2_15M_BETA_X5.csv
2026-09-01T15:12:55Z,ACE_DUO_CLEAN_V2_15M,BETA,4,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=COMPRESSE tension=0.00000000 threshold=0.05;source=ACE_DUO_CLEAN_V2_15M_BETA_X5.csv
2026-09-01T15:13:00Z,ACE_DUO_CLEAN_V2_15M,BETA,5,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=COMPRESSE tension=0.00004812 threshold=0.05;source=ACE_DUO_CLEAN_V2_15M_BETA_X5.csv
2026-09-01T15:13:05Z,ACE_DUO_CLEAN_V2_15M,BETA,6,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=COMPRESSE tension=0.00001200 threshold=0.05;source=ACE_DUO_CLEAN_V2_15M_BETA_X5.csv
2026-09-01T15:16:45Z,ACE_DUO_CLEAN_V2_15M,BETA,7,BTCUSDT,,,77792.1,,,FILLED,ALLOW,SELL,0.8091,csv_engine:timeout;source=ACE_DUO_CLEAN_V2_15M_BETA_X5.csv
2026-09-01T15:16:54Z,ACE_DUO_CLEAN_V2_15M,BETA,8,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=spread_too_wide conf=0.5 mom_sig=3.99842128 raw_mom_bps=0.00000000 spread_bps=13.99640000 tension=3.99842128 bid_drop=25.98973832 ask_drop=0.00000000 swarm=0;source=ACE_DUO_CLEAN_V2_15M_BETA_X5.csv
2026-09-01T15:17:02Z,ACE_DUO_CLEAN_V2_15M,BETA,9,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=spread_too_wide conf=0.5 mom_sig=2.14811404 raw_mom_bps=0.00000000 spread_bps=16.08640000 tension=2.14811404 bid_drop=13.96274123 ask_drop=0.00000000 swarm=0;source=ACE_DUO_CLEAN_V2_15M_BETA_X5.csv
2026-09-01T15:17:07Z,ACE_DUO_CLEAN_V2_15M,BETA,10,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=COMPRESSE tension=0.00000000 threshold=0.05;source=ACE_DUO_CLEAN_V2_15M_BETA_X5.csv
2026-09-01T15:17:12Z,ACE_DUO_CLEAN_V2_15M,BETA,11,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=COMPRESSE tension=0.00000000 threshold=0.05;source=ACE_DUO_CLEAN_V2_15M_BETA_X5.csv
2026-09-01T15:17:19Z,ACE_DUO_CLEAN_V2_15M,BETA,12,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=spread_too_wide conf=0.2183 mom_sig=0.26194225 raw_mom_bps=0.61727125 spread_bps=16.75400000 tension=0.26194225 bid_drop=1.70262460 ask_drop=0.00000000 swarm=0;source=ACE_DUO_CLEAN_V2_15M_BETA_X5.csv
2026-09-01T15:19:10Z,ACE_DUO_CLEAN_V2_15M,BETA,13,BTCUSDT,,,77816.6,,,FILLED,ALLOW,SELL,0.9968,csv_engine:stop_loss;source=ACE_DUO_CLEAN_V2_15M_BETA_X5.csv
2026-09-01T15:19:16Z,ACE_DUO_CLEAN_V2_15M,BETA,14,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=COMPRESSE tension=0.00000000 threshold=0.05;source=ACE_DUO_CLEAN_V2_15M_BETA_X5.csv
2026-09-01T15:19:21Z,ACE_DUO_CLEAN_V2_15M,BETA,15,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=COMPRESSE tension=0.00084504 threshold=0.05;source=ACE_DUO_CLEAN_V2_15M_BETA_X5.csv
2026-09-01T15:19:26Z,ACE_DUO_CLEAN_V2_15M,BETA,16,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=COMPRESSE tension=0.01089261 threshold=0.05;source=ACE_DUO_CLEAN_V2_15M_BETA_X5.csv
2026-09-01T15:19:33Z,ACE_DUO_CLEAN_V2_15M,BETA,17,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=spread_too_wide conf=0.5 mom_sig=2.00758483 raw_mom_bps=0.00000000 spread_bps=8.69150000 tension=2.00758483 bid_drop=13.04930138 ask_drop=0.00000000 swarm=0;source=ACE_DUO_CLEAN_V2_15M_BETA_X5.csv
2026-09-01T15:19:39Z,ACE_DUO_CLEAN_V2_15M,BETA,18,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=COMPRESSE tension=0.00000000 threshold=0.05;source=ACE_DUO_CLEAN_V2_15M_BETA_X5.csv
2026-09-01T15:19:46Z,ACE_DUO_CLEAN_V2_15M,BETA,19,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=spread_too_wide conf=0.1551 mom_sig=0.18615189 raw_mom_bps=0.00000000 spread_bps=11.25920000 tension=0.18615189 bid_drop=0.00000000 ask_drop=1.20998726 swarm=0;source=ACE_DUO_CLEAN_V2_15M_BETA_X5.csv
2026-09-01T15:19:51Z,ACE_DUO_CLEAN_V2_15M,BETA,20,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=COMPRESSE tension=0.00012336 threshold=0.05;source=ACE_DUO_CLEAN_V2_15M_BETA_X5.csv
2026-09-01T15:19:58Z,ACE_DUO_CLEAN_V2_15M,BETA,21,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=spread_too_wide conf=0.1483 mom_sig=0.17797946 raw_mom_bps=0.00000000 spread_bps=11.25920000 tension=0.17797946 bid_drop=0.00000000 ask_drop=1.15686652 swarm=0;source=ACE_DUO_CLEAN_V2_15M_BETA_X5.csv
2026-09-01T15:20:03Z,ACE_DUO_CLEAN_V2_15M,BETA,22,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=COMPRESSE tension=0.00000000 threshold=0.05;source=ACE_DUO_CLEAN_V2_15M_BETA_X5.csv
2026-09-01T15:20:08Z,ACE_DUO_CLEAN_V2_15M,BETA,23,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=COMPRESSE tension=0.00000000 threshold=0.05;source=ACE_DUO_CLEAN_V2_15M_BETA_X5.csv
2026-09-01T15:20:19Z,ACE_DUO_CLEAN_V2_15M,BETA,24,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=spread_too_wide conf=0.5 mom_sig=2.50047516 raw_mom_bps=0.01283831 spread_bps=12.06800000 tension=2.50047516 bid_drop=16.25308854 ask_drop=0.96978497 swarm=0;source=ACE_DUO_CLEAN_V2_15M_BETA_X5.csv
2026-09-01T15:20:25Z,ACE_DUO_CLEAN_V2_15M,BETA,25,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=COMPRESSE tension=0.00194450 threshold=0.05;source=ACE_DUO_CLEAN_V2_15M_BETA_X5.csv
2026-09-01T15:20:37Z,ACE_DUO_CLEAN_V2_15M,BETA,26,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=COMPRESSE tension=0.04865784 threshold=0.05;source=ACE_DUO_CLEAN_V2_15M_BETA_X5.csv
2026-09-01T15:20:43Z,ACE_DUO_CLEAN_V2_15M,BETA,27,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=COMPRESSE tension=0.00787155 threshold=0.05;source=ACE_DUO_CLEAN_V2_15M_BETA_X5.csv
2026-09-01T15:23:09Z,ACE_DUO_CLEAN_V2_15M,BETA,28,BTCUSDT,,,77788.8,,,FILLED,ALLOW,SELL,0.9992,csv_engine:stop_loss;source=ACE_DUO_CLEAN_V2_15M_BETA_X5.csv
2026-09-01T15:23:15Z,ACE_DUO_CLEAN_V2_15M,BETA,29,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=COMPRESSE tension=0.00000000 threshold=0.05;source=ACE_DUO_CLEAN_V2_15M_BETA_X5.csv
2026-09-01T15:23:20Z,ACE_DUO_CLEAN_V2_15M,BETA,30,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=COMPRESSE tension=0.00000000 threshold=0.05;source=ACE_DUO_CLEAN_V2_15M_BETA_X5.csv
2026-09-01T15:23:28Z,ACE_DUO_CLEAN_V2_15M,BETA,31,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=spread_too_wide conf=0.2228 mom_sig=0.26733723 raw_mom_bps=0.00000000 spread_bps=22.79520000 tension=0.26733723 bid_drop=0.00000000 ask_drop=1.73769199 swarm=0;source=ACE_DUO_CLEAN_V2_15M_BETA_X5.csv
2026-09-01T15:23:34Z,ACE_DUO_CLEAN_V2_15M,BETA,32,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=COMPRESSE tension=0.00000000 threshold=0.05;source=ACE_DUO_CLEAN_V2_15M_BETA_X5.csv
2026-09-01T15:23:42Z,ACE_DUO_CLEAN_V2_15M,BETA,33,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=spread_too_wide conf=0.5 mom_sig=1.14484020 raw_mom_bps=0.00000000 spread_bps=22.70540000 tension=1.14484020 bid_drop=7.44146127 ask_drop=0.00000000 swarm=0;source=ACE_DUO_CLEAN_V2_15M_BETA_X5.csv
2026-09-01T15:23:50Z,ACE_DUO_CLEAN_V2_15M,BETA,34,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=spread_too_wide conf=0.1008 mom_sig=0.12097562 raw_mom_bps=0.00000000 spread_bps=23.42340000 tension=0.12097562 bid_drop=0.00000000 ask_drop=0.78634151 swarm=0;source=ACE_DUO_CLEAN_V2_15M_BETA_X5.csv
2026-09-01T15:23:59Z,ACE_DUO_CLEAN_V2_15M,BETA,35,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=spread_too_wide conf=0.1996 mom_sig=0.23946729 raw_mom_bps=-24.14133515 spread_bps=24.14130000 tension=0.23946729 bid_drop=1.55653741 ask_drop=0.00000000 swarm=0;source=ACE_DUO_CLEAN_V2_15M_BETA_X5.csv
2026-09-01T15:24:05Z,ACE_DUO_CLEAN_V2_15M,BETA,36,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=COMPRESSE tension=0.00000000 threshold=0.05;source=ACE_DUO_CLEAN_V2_15M_BETA_X5.csv
2026-09-01T15:24:10Z,ACE_DUO_CLEAN_V2_15M,BETA,37,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=COMPRESSE tension=0.00000000 threshold=0.05;source=ACE_DUO_CLEAN_V2_15M_BETA_X5.csv
2026-09-01T15:24:15Z,ACE_DUO_CLEAN_V2_15M,BETA,38,BTCUSDT,,,,,,DECISION_LOG,SKIP,,,csv_engine:reason=COMPRESSE tension=0.00000000 threshold=0.05;source=ACE_DUO_CLEAN_V2_15M_BETA_X5.csv
