ts,run_id,unit,cycle,symbol,bid,ask,mid,spread_bps,momentum_bps,regime,decision,side,confidence,reason
15:12:40,ACE_DUO_CLEAN_V2_15M,BETA,1,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V2_15M_LIVE_COLOR.log
15:12:42,ACE_DUO_CLEAN_V2_15M,ALPHA,1,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V2_15M_LIVE_COLOR.log
15:12:45,ACE_DUO_CLEAN_V2_15M,BETA,2,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V2_15M_LIVE_COLOR.log
15:12:47,ACE_DUO_CLEAN_V2_15M,ALPHA,2,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V2_15M_LIVE_COLOR.log
15:12:50,ACE_DUO_CLEAN_V2_15M,BETA,3,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V2_15M_LIVE_COLOR.log
15:12:53,ACE_DUO_CLEAN_V2_15M,ALPHA,3,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V2_15M_LIVE_COLOR.log
15:12:55,ACE_DUO_CLEAN_V2_15M,BETA,4,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V2_15M_LIVE_COLOR.log
15:13:00,ACE_DUO_CLEAN_V2_15M,BETA,5,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V2_15M_LIVE_COLOR.log
15:13:00,ACE_DUO_CLEAN_V2_15M,ALPHA,4,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,0.4288,engine_log:ACE_DUO_CLEAN_V2_15M_LIVE_COLOR.log
15:13:05,ACE_DUO_CLEAN_V2_15M,BETA,6,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V2_15M_LIVE_COLOR.log
15:13:09,ACE_DUO_CLEAN_V2_15M,ALPHA,5,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V2_15M_LIVE_COLOR.log
15:13:17,ACE_DUO_CLEAN_V2_15M,ALPHA,6,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V2_15M_LIVE_COLOR.log
15:13:22,ACE_DUO_CLEAN_V2_15M,ALPHA,7,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V2_15M_LIVE_COLOR.log
15:13:27,ACE_DUO_CLEAN_V2_15M,ALPHA,8,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V2_15M_LIVE_COLOR.log
15:13:35,ACE_DUO_CLEAN_V2_15M,ALPHA,9,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,0.5,engine_log:ACE_DUO_CLEAN_V2_15M_LIVE_COLOR.log
15:13:40,ACE_DUO_CLEAN_V2_15M,ALPHA,10,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V2_15M_LIVE_COLOR.log
15:13:46,ACE_DUO_CLEAN_V2_15M,ALPHA,11,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V2_15M_LIVE_COLOR.log
15:13:54,ACE_DUO_CLEAN_V2_15M,ALPHA,12,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,0.5,engine_log:ACE_DUO_CLEAN_V2_15M_LIVE_COLOR.log
15:14:04,ACE_DUO_CLEAN_V2_15M,ALPHA,13,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V2_15M_LIVE_COLOR.log
15:15:32,ACE_DUO_CLEAN_V2_15M,ALPHA,15,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V2_15M_LIVE_COLOR.log
15:16:55,ACE_DUO_CLEAN_V2_15M,BETA,8,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,0.5,engine_log:ACE_DUO_CLEAN_V2_15M_LIVE_COLOR.log
15:17:02,ACE_DUO_CLEAN_V2_15M,BETA,9,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,0.5,engine_log:ACE_DUO_CLEAN_V2_15M_LIVE_COLOR.log
15:17:07,ACE_DUO_CLEAN_V2_15M,BETA,10,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V2_15M_LIVE_COLOR.log
15:17:12,ACE_DUO_CLEAN_V2_15M,BETA,11,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V2_15M_LIVE_COLOR.log
15:17:19,ACE_DUO_CLEAN_V2_15M,BETA,12,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,0.2183,engine_log:ACE_DUO_CLEAN_V2_15M_LIVE_COLOR.log
15:17:30,ACE_DUO_CLEAN_V2_15M,ALPHA,17,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V2_15M_LIVE_COLOR.log
15:17:39,ACE_DUO_CLEAN_V2_15M,ALPHA,18,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,0.5,engine_log:ACE_DUO_CLEAN_V2_15M_LIVE_COLOR.log
15:17:45,ACE_DUO_CLEAN_V2_15M,ALPHA,19,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V2_15M_LIVE_COLOR.log
15:17:54,ACE_DUO_CLEAN_V2_15M,ALPHA,20,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,0.1746,engine_log:ACE_DUO_CLEAN_V2_15M_LIVE_COLOR.log
15:18:02,ACE_DUO_CLEAN_V2_15M,ALPHA,21,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,0.5,engine_log:ACE_DUO_CLEAN_V2_15M_LIVE_COLOR.log
15:18:07,ACE_DUO_CLEAN_V2_15M,ALPHA,22,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V2_15M_LIVE_COLOR.log
15:18:15,ACE_DUO_CLEAN_V2_15M,ALPHA,23,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,0.5,engine_log:ACE_DUO_CLEAN_V2_15M_LIVE_COLOR.log
15:18:20,ACE_DUO_CLEAN_V2_15M,ALPHA,24,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V2_15M_LIVE_COLOR.log
15:18:25,ACE_DUO_CLEAN_V2_15M,ALPHA,25,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V2_15M_LIVE_COLOR.log
15:18:33,ACE_DUO_CLEAN_V2_15M,ALPHA,26,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,0.5,engine_log:ACE_DUO_CLEAN_V2_15M_LIVE_COLOR.log
15:18:38,ACE_DUO_CLEAN_V2_15M,ALPHA,27,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V2_15M_LIVE_COLOR.log
15:18:43,ACE_DUO_CLEAN_V2_15M,ALPHA,28,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V2_15M_LIVE_COLOR.log
15:18:53,ACE_DUO_CLEAN_V2_15M,ALPHA,29,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V2_15M_LIVE_COLOR.log
15:19:02,ACE_DUO_CLEAN_V2_15M,ALPHA,30,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,0.5,engine_log:ACE_DUO_CLEAN_V2_15M_LIVE_COLOR.log
15:19:11,ACE_DUO_CLEAN_V2_15M,ALPHA,31,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,0.326,engine_log:ACE_DUO_CLEAN_V2_15M_LIVE_COLOR.log
15:19:16,ACE_DUO_CLEAN_V2_15M,ALPHA,32,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V2_15M_LIVE_COLOR.log
15:19:16,ACE_DUO_CLEAN_V2_15M,BETA,14,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V2_15M_LIVE_COLOR.log
15:19:21,ACE_DUO_CLEAN_V2_15M,BETA,15,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V2_15M_LIVE_COLOR.log
15:19:24,ACE_DUO_CLEAN_V2_15M,ALPHA,33,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,0.5,engine_log:ACE_DUO_CLEAN_V2_15M_LIVE_COLOR.log
15:19:27,ACE_DUO_CLEAN_V2_15M,BETA,16,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V2_15M_LIVE_COLOR.log
15:19:32,ACE_DUO_CLEAN_V2_15M,ALPHA,34,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,0.5,engine_log:ACE_DUO_CLEAN_V2_15M_LIVE_COLOR.log
15:19:34,ACE_DUO_CLEAN_V2_15M,BETA,17,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,0.5,engine_log:ACE_DUO_CLEAN_V2_15M_LIVE_COLOR.log
15:19:37,ACE_DUO_CLEAN_V2_15M,ALPHA,35,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V2_15M_LIVE_COLOR.log
15:19:39,ACE_DUO_CLEAN_V2_15M,BETA,18,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V2_15M_LIVE_COLOR.log
