ts,cycle,side,status,entryPrice,exitPrice,qty,bps,pnl,feeUsdt,pnlNet,exitReason,holdSec,msg
2026-09-01T13:12:30Z,1,SKIP,SKIPPED,,,,,0,radar_block,,reason=spread_too_wide conf=0.5 mom_sig=7.43640159 raw_mom_bps=0.00000000 spread_bps=14.74660000 tension=7.43640159 bid_drop=48.33661031 ask_drop=0.00000000 swarm=0
2026-09-01T13:12:36Z,2,SKIP,SKIPPED,,,,,0,regime_gate,,reason=COMPRESSE tension=0.00000000 threshold=0.05
2026-09-01T13:12:41Z,3,SKIP,SKIPPED,,,,,0,regime_gate,,reason=COMPRESSE tension=0.00000000 threshold=0.05
2026-09-01T13:12:46Z,4,SKIP,SKIPPED,,,,,0,regime_gate,,reason=COMPRESSE tension=0.00015510 threshold=0.05
2026-09-01T13:12:51Z,5,SKIP,SKIPPED,,,,,0,regime_gate,,reason=COMPRESSE tension=0.00000000 threshold=0.05
2026-09-01T13:12:59Z,6,SKIP,SKIPPED,,,,,0,radar_block,,reason=spread_too_wide conf=0.5 mom_sig=1.52682503 raw_mom_bps=0.00000000 spread_bps=14.00510000 tension=1.52682503 bid_drop=9.92436268 ask_drop=0.00000000 swarm=0
2026-09-01T13:13:05Z,7,SKIP,SKIPPED,,,,,0,regime_gate,,reason=COMPRESSE tension=0.00000000 threshold=0.05
2026-09-01T13:13:10Z,8,SKIP,SKIPPED,,,,,0,regime_gate,,reason=COMPRESSE tension=0.00007751 threshold=0.05
2026-09-01T13:13:15Z,9,SKIP,SKIPPED,,,,,0,regime_gate,,reason=COMPRESSE tension=0.00000000 threshold=0.05
2026-09-01T13:13:21Z,10,SKIP,SKIPPED,,,,,0,regime_gate,,reason=COMPRESSE tension=0.00000000 threshold=0.05
2026-09-01T13:13:26Z,11,SKIP,SKIPPED,,,,,0,regime_gate,,reason=COMPRESSE tension=0.04904465 threshold=0.05
2026-09-01T13:13:32Z,12,SKIP,SKIPPED,,,,,0,regime_gate,,reason=COMPRESSE tension=0.00000000 threshold=0.05
2026-09-01T13:13:37Z,13,SKIP,SKIPPED,,,,,0,regime_gate,,reason=COMPRESSE tension=0.00000000 threshold=0.05
2026-09-01T13:13:42Z,14,SKIP,SKIPPED,,,,,0,regime_gate,,reason=COMPRESSE tension=0.00000000 threshold=0.05
2026-09-01T13:13:50Z,15,SKIP,SKIPPED,,,,,0,radar_block,,reason=spread_too_wide conf=0.5 mom_sig=1.90754723 raw_mom_bps=0.00000000 spread_bps=19.96190000 tension=1.90754723 bid_drop=12.39905702 ask_drop=0.00058814 swarm=0
2026-09-01T13:13:55Z,16,SKIP,SKIPPED,,,,,0,regime_gate,,reason=COMPRESSE tension=0.00000000 threshold=0.05
2026-09-01T13:14:03Z,17,SKIP,SKIPPED,,,,,0,radar_block,,reason=spread_too_wide conf=0.5 mom_sig=1.76125629 raw_mom_bps=20.23365111 spread_bps=9.99110000 tension=1.76125629 bid_drop=11.44816588 ask_drop=0.00000000 swarm=0
2026-09-01T13:14:09Z,18,SKIP,SKIPPED,,,,,0,regime_gate,,reason=COMPRESSE tension=0.02629466 threshold=0.05
2026-09-01T13:14:14Z,19,SKIP,SKIPPED,,,,,0,regime_gate,,reason=COMPRESSE tension=0.00000000 threshold=0.05
2026-09-01T13:14:19Z,20,SKIP,SKIPPED,,,,,0,regime_gate,,reason=COMPRESSE tension=0.00000000 threshold=0.05
2026-09-01T13:14:24Z,21,SKIP,SKIPPED,,,,,0,regime_gate,,reason=COMPRESSE tension=0.00001025 threshold=0.05
2026-09-01T13:14:30Z,22,SKIP,SKIPPED,,,,,0,regime_gate,,reason=COMPRESSE tension=0.00032901 threshold=0.05
2026-09-01T13:14:37Z,23,SKIP,SKIPPED,,,,,0,radar_block,,reason=spread_too_wide conf=0.1395 mom_sig=0.16744218 raw_mom_bps=24.32320552 spread_bps=16.00510000 tension=0.16744218 bid_drop=1.08837415 ask_drop=0.00000000 swarm=0
2026-09-01T13:14:42Z,24,SKIP,SKIPPED,,,,,0,regime_gate,,reason=COMPRESSE tension=0.00047494 threshold=0.05
2026-09-01T13:14:48Z,25,SKIP,SKIPPED,,,,,0,regime_gate,,reason=COMPRESSE tension=0.00000000 threshold=0.05
2026-09-01T13:14:54Z,26,SKIP,SKIPPED,,,,,0,regime_gate,,reason=COMPRESSE tension=0.00105158 threshold=0.05
