model_file,start_utc,end_utc,tag,pnl_total_usdt,status,notes
MODELE_MASTER_BASE_20260309_220324_4H.sh,2026-03-09T22:03:24Z,2026-03-10T02:03:24Z,MASTER_BASE_V8_5_IMPACT_4H,A_VERIFIER,ARCHIVE_REFERENCE,"Modele archive avec description cycle conservee"
vide_froid_binance,2026-07-10T13:21:56Z,2026-07-10T13:42:19Z,MASTER_VORTEX_V2_COLLAB_4H,-4.5183,NEGATIF,BETA=-0.2022 ALPHA=-4.3160 TOTAL=-4.5183,RAPPORT_PNL_AUTO_20260710_134232.md
vide_froid_binance,2026-07-10T13:42:59Z,2026-07-10T14:00:56Z,MASTER_VORTEX_V2_COLLAB_4H,-7.3277,NEGATIF,BETA=-0.0188 ALPHA=-7.3089 TOTAL=-7.3277,RAPPORT_PNL_AUTO_20260710_140445.md
vide_froid_binance,2026-07-10T14:05:13Z,2026-07-10T14:16:43Z,MASTER_VORTEX_V2_COLLAB_4H,0.7176,POSITIF,BETA=+0.7176 ALPHA=+0.0000 TOTAL=+0.7176,RAPPORT_PNL_AUTO_20260710_141655.md
vide_froid_vortex_v2_collab,2026-07-10T14:17:26Z,2026-07-10T14:21:44Z,MASTER_VORTEX_V2_COLLAB_4H,0.0732,POSITIF,BETA=+0.0732 ALPHA=+0.0000 TOTAL=+0.0732,RAPPORT_PNL_AUTO_20260710_142147.md
vide_froid_binance,2026-07-10T14:17:26Z,2026-07-10T14:21:52Z,MASTER_VORTEX_V2_COLLAB_4H,0.0732,POSITIF,BETA=+0.0732 ALPHA=+0.0000 TOTAL=+0.0732,RAPPORT_PNL_AUTO_20260710_142634.md
vide_froid_vortex_v2_collab,2026-07-10T14:28:21Z,2026-07-10T14:49:24Z,MASTER_VORTEX_V2_COLLAB_4H,-2.0847,NEGATIF,BETA=-1.2222 ALPHA=-0.8625 TOTAL=-2.0847,RAPPORT_PNL_AUTO_20260710_144932.md
vide_froid_binance,2026-07-10T14:17:26Z,2026-07-10T14:49:24Z,MASTER_VORTEX_V2_COLLAB_4H,-2.0115,NEGATIF,BETA=-1.1490 ALPHA=-0.8625 TOTAL=-2.0115,RAPPORT_PNL_AUTO_20260710_150041.md
vide_froid_vortex_v2_collab,2026-07-10T15:00:55Z,2026-07-10T15:25:31Z,MASTER_VORTEX_V2_COLLAB_4H,9.6347,POSITIF,BETA=+1.0032 ALPHA=+8.6316 TOTAL=+9.6347,RAPPORT_PNL_AUTO_20260710_152540.md
vide_froid_vortex_v2_collab,2026-07-10T15:26:04Z,2026-07-10T15:38:17Z,MASTER_VORTEX_V2_COLLAB_4H,-1.8548,NEGATIF,BETA=-0.0524 ALPHA=-1.8024 TOTAL=-1.8548,RAPPORT_PNL_AUTO_20260710_153827.md
vide_froid_vortex_v2_collab,2026-07-10T15:38:43Z,2026-07-10T15:51:22Z,MASTER_VORTEX_V2_COLLAB_4H,-3.7950,NEGATIF,BETA=+0.2935 ALPHA=-4.0885 TOTAL=-3.7950,RAPPORT_PNL_AUTO_20260710_155135.md
vide_froid_vortex_v2_collab,2026-07-10T15:51:52Z,2026-07-10T15:57:08Z,MASTER_VORTEX_V2_COLLAB_4H,0.2045,POSITIF,BETA=+0.2045 ALPHA=+0.0000 TOTAL=+0.2045,RAPPORT_PNL_AUTO_20260710_155709.md
vide_froid_vortex_v2_collab,2026-07-10T15:57:16Z,2026-07-10T15:57:40Z,MASTER_VORTEX_V2_COLLAB_4H,0.0000,NEUTRE,BETA=+0.0000 ALPHA=+0.0000 TOTAL=+0.0000,RAPPORT_PNL_AUTO_20260710_155745.md
vide_froid_binance,2026-07-10T15:57:58Z,2026-07-10T15:58:29Z,MASTER_VORTEX_V2_COLLAB_4H,0.0000,NEUTRE,BETA=+0.0000 ALPHA=+0.0000 TOTAL=+0.0000,RAPPORT_PNL_AUTO_20260710_155830.md
vide_froid_vortex_v2_collab,2026-07-10T16:26:05Z,2026-07-10T16:37:08Z,MASTER_VORTEX_V2_COLLAB_4H,-0.3281,NEGATIF,BETA=-0.0910 ALPHA=-0.2371 TOTAL=-0.3281,RAPPORT_PNL_AUTO_20260710_163716.md
vide_froid_vortex_v2_collab,2026-07-10T16:37:33Z,2026-07-10T16:48:23Z,MASTER_VORTEX_V2_COLLAB_4H,5.7310,POSITIF,BETA=-0.6107 ALPHA=+6.3417 TOTAL=+5.7310,RAPPORT_PNL_AUTO_20260710_164836.md
vide_froid_vortex_v2_collab,2026-07-10T16:48:53Z,2026-07-10T16:54:33Z,MASTER_VORTEX_V2_COLLAB_4H,6.6929,POSITIF,BETA=-0.9038 ALPHA=+7.5966 TOTAL=+6.6929,RAPPORT_PNL_AUTO_20260710_165435.md
vide_froid_binance,2026-07-10T16:54:57Z,2026-07-10T16:58:21Z,MASTER_VORTEX_V2_COLLAB_4H,0.0365,POSITIF,BETA=+0.0365 ALPHA=+0.0000 TOTAL=+0.0365,RAPPORT_PNL_AUTO_20260710_165828.md
vide_froid_vortex_v2_collab,2026-07-10T17:16:01Z,2026-07-10T17:51:36Z,MASTER_VORTEX_V2_COLLAB_4H,2.3548,POSITIF,BETA=-0.2042 ALPHA=+2.5589 TOTAL=+2.3548,RAPPORT_PNL_AUTO_20260710_175145.md
vide_froid_vortex_v2_collab,2026-07-10T17:52:02Z,2026-07-10T18:15:00Z,MASTER_VORTEX_V2_COLLAB_4H,4.2958,POSITIF,BETA=+0.7329 ALPHA=+3.5629 TOTAL=+4.2958,RAPPORT_PNL_AUTO_20260710_181511.md
vide_froid_vortex_v2_collab,2026-07-10T18:15:38Z,2026-07-10T19:26:57Z,MASTER_VORTEX_V2_COLLAB_4H,1.2249,POSITIF,BETA=+0.3624 ALPHA=+0.8625 TOTAL=+1.2249,RAPPORT_PNL_AUTO_20260710_192706.md
vide_froid_vortex_v2_collab,2026-07-10T19:27:27Z,2026-07-10T19:39:30Z,MASTER_VORTEX_V2_COLLAB_4H,13.2290,POSITIF,BETA=-0.6791 ALPHA=+13.9080 TOTAL=+13.2290,RAPPORT_PNL_AUTO_20260710_193940.md
vide_froid_binance,2026-07-10T19:39:58Z,2026-07-10T20:24:42Z,MASTER_VORTEX_V2_COLLAB_4H,0.8783,POSITIF,BETA=+0.8783 ALPHA=+0.0000 TOTAL=+0.8783,RAPPORT_PNL_AUTO_20260710_202500.md
vide_froid_binance,2026-07-10T19:39:58Z,2026-07-10T20:24:42Z,MASTER_VORTEX_V2_COLLAB_4H,0.8783,POSITIF,BETA=+0.8783 ALPHA=+0.0000 TOTAL=+0.8783,RAPPORT_PNL_AUTO_20260710_202645.md
vide_froid_vortex_v2_collab,2026-07-10T20:27:00Z,2026-07-10T20:41:52Z,MASTER_VORTEX_V2_COLLAB_4H,29.4095,POSITIF,BETA=+1.1616 ALPHA=+28.2480 TOTAL=+29.4095,RAPPORT_PNL_AUTO_20260710_204206.md
vide_froid_vortex_v2_collab,2026-07-10T20:42:26Z,2026-07-10T21:02:14Z,MASTER_VORTEX_V2_COLLAB_4H,1.0178,POSITIF,BETA=-0.0096 ALPHA=+1.0274 TOTAL=+1.0178,RAPPORT_PNL_AUTO_20260710_210222.md
vide_froid_binance,2026-07-10T21:02:39Z,2026-07-10T21:09:00Z,MASTER_VORTEX_V2_COLLAB_4H,2.6875,POSITIF,BETA=-0.2101 ALPHA=+2.8976 TOTAL=+2.6875,RAPPORT_PNL_AUTO_20260710_210901.md
vide_froid_binance,2026-07-10T21:11:57Z,2026-07-10T21:19:58Z,MASTER_VORTEX_V2_COLLAB_4H,-0.2176,NEGATIF,BETA=-0.2176 ALPHA=+0.0000 TOTAL=-0.2176,RAPPORT_PNL_AUTO_20260710_212000.md
vide_froid_binance,2026-07-10T21:11:57Z,2026-07-10T21:20:03Z,MASTER_VORTEX_V2_COLLAB_4H,-0.2176,NEGATIF,BETA=-0.2176 ALPHA=+0.0000 TOTAL=-0.2176,RAPPORT_PNL_AUTO_20260710_212305.md
vide_froid_binance,2026-07-10T21:23:17Z,2026-07-10T21:35:37Z,MASTER_VORTEX_V2_COLLAB_4H,4.4884,POSITIF,BETA=-0.2455 ALPHA=+4.7340 TOTAL=+4.4884,RAPPORT_PNL_AUTO_20260710_213543.md
vide_froid_vortex_v2_collab,2026-07-10T21:36:06Z,2026-07-10T21:48:08Z,MASTER_VORTEX_V2_COLLAB_4H,-0.7510,NEGATIF,BETA=-0.2968 ALPHA=-0.4542 TOTAL=-0.7510,RAPPORT_PNL_AUTO_20260710_214818.md
vide_froid_binance,2026-07-10T21:48:37Z,2026-07-10T21:51:00Z,MASTER_VORTEX_V2_COLLAB_4H,0.0074,POSITIF,BETA=+0.0074 ALPHA=+0.0000 TOTAL=+0.0074,RAPPORT_PNL_AUTO_20260710_215108.md
vide_froid_vortex_v2_collab,2026-07-10T21:55:20Z,2026-07-10T22:11:59Z,MASTER_VORTEX_V2_COLLAB_4H,-0.3683,NEGATIF,BETA=-0.3683 ALPHA=+0.0000 TOTAL=-0.3683,RAPPORT_PNL_AUTO_20260710_221200.md
vide_froid_binance,2026-07-10T22:12:17Z,2026-07-10T22:33:04Z,MASTER_VORTEX_V2_COLLAB_4H,-0.0862,NEGATIF,BETA=-0.4759 ALPHA=+0.3898 TOTAL=-0.0862,RAPPORT_PNL_AUTO_20260710_223324.md
vide_froid_vortex_v2_collab,2026-07-11T07:28:48Z,2026-07-11T07:42:33Z,MASTER_VORTEX_V2_COLLAB_4H,-1.0750,NEGATIF,BETA=-0.2825 ALPHA=-0.7925 TOTAL=-1.0750,RAPPORT_PNL_AUTO_20260711_074243.md
vide_froid_binance,2026-07-11T07:43:01Z,2026-07-11T07:57:35Z,MASTER_VORTEX_V2_COLLAB_4H,-0.0989,NEGATIF,BETA=+0.0474 ALPHA=-0.1462 TOTAL=-0.0989,RAPPORT_PNL_AUTO_20260711_075740.md
vide_froid_binance,2026-07-11T07:43:01Z,2026-07-11T07:57:35Z,MASTER_VORTEX_V2_COLLAB_4H,-0.0989,NEGATIF,BETA=+0.0474 ALPHA=-0.1462 TOTAL=-0.0989,RAPPORT_PNL_AUTO_20260711_075740.md
vide_froid_binance,2026-07-11T07:58:19Z,2026-07-11T08:12:25Z,MASTER_VORTEX_V2_COLLAB_4H,-0.0947,NEGATIF,BETA=-0.2815 ALPHA=+0.1868 TOTAL=-0.0947,RAPPORT_PNL_AUTO_20260711_081236.md
vide_froid_binance,2026-07-11T07:58:19Z,2026-07-11T08:12:37Z,MASTER_VORTEX_V2_COLLAB_4H,-0.0947,NEGATIF,BETA=-0.2815 ALPHA=+0.1868 TOTAL=-0.0947,RAPPORT_PNL_AUTO_20260711_081422.md
vide_froid_binance,2026-07-11T08:14:35Z,2026-07-11T08:33:19Z,MASTER_VORTEX_V2_COLLAB_4H,0.6788,POSITIF,BETA=+0.0413 ALPHA=+0.6375 TOTAL=+0.6788,RAPPORT_PNL_AUTO_20260711_083320.md
vide_froid_vortex_v2_collab,2026-07-11T08:35:05Z,2026-07-11T09:01:40Z,MASTER_VORTEX_V2_COLLAB_4H,1.4293,POSITIF,BETA=-0.1288 ALPHA=+1.5582 TOTAL=+1.4293,RAPPORT_PNL_AUTO_20260711_090143.md
vide_froid_binance,2026-07-11T08:35:05Z,2026-07-11T09:01:40Z,MASTER_VORTEX_V2_COLLAB_4H,1.4293,POSITIF,BETA=-0.1288 ALPHA=+1.5582 TOTAL=+1.4293,RAPPORT_PNL_AUTO_20260711_090144.md
vide_froid_vortex_v2_collab,2026-07-11T09:13:12Z,2026-07-11T09:42:23Z,MASTER_VORTEX_V2_COLLAB_4H,2.8833,POSITIF,BETA=-0.5628 ALPHA=+3.4461 TOTAL=+2.8833,RAPPORT_PNL_AUTO_20260711_094232.md
vide_froid_binance,2026-07-11T09:42:50Z,2026-07-11T09:53:23Z,MASTER_VORTEX_V2_COLLAB_4H,0.0977,POSITIF,BETA=+0.0977 ALPHA=+0.0000 TOTAL=+0.0977,RAPPORT_PNL_AUTO_20260711_095335.md
vide_froid_vortex_v2_collab,2026-07-11T09:55:38Z,2026-07-11T10:11:05Z,MASTER_VORTEX_V2_COLLAB_4H,1.3287,POSITIF,BETA=-0.0321 ALPHA=+1.3609 TOTAL=+1.3287,RAPPORT_PNL_AUTO_20260711_101107.md
vide_froid_binance,2026-07-11T10:11:25Z,2026-07-11T11:07:44Z,MASTER_VORTEX_V2_COLLAB_4H,0.8828,POSITIF,BETA=+0.3361 ALPHA=+0.5468 TOTAL=+0.8828,RAPPORT_PNL_AUTO_20260711_113323.md
vide_froid_binance,2026-07-11T11:56:49Z,2026-07-11T11:56:59Z,MASTER_VORTEX_V2_COLLAB_4H,0.0000,NEUTRE,BETA=+0.0000 ALPHA=+0.0000 TOTAL=+0.0000,RAPPORT_PNL_AUTO_20260711_115659.md
vide_froid_binance,2026-07-11T11:56:49Z,2026-07-11T11:56:59Z,MASTER_VORTEX_V2_COLLAB_4H,0.0000,NEUTRE,BETA=+0.0000 ALPHA=+0.0000 TOTAL=+0.0000,RAPPORT_PNL_AUTO_20260711_115722.md
vide_froid_binance,2026-07-11T12:04:19Z,2026-07-11T12:18:38Z,MASTER_VORTEX_V2_COLLAB_4H,0.1177,POSITIF,BETA=+0.1177 ALPHA=+0.0000 TOTAL=+0.1177,RAPPORT_PNL_AUTO_20260711_121842.md
vide_froid_binance,2026-07-11T12:23:52Z,2026-07-11T12:43:52Z,MASTER_VORTEX_V2_COLLAB_4H,-2.8810,NEGATIF,BETA=+0.0143 ALPHA=-2.8953 TOTAL=-2.8810,RAPPORT_PNL_AUTO_20260711_124409.md
vide_froid_binance,2026-07-11T12:23:52Z,2026-07-11T12:43:52Z,MASTER_VORTEX_V2_COLLAB_4H,-2.8810,NEGATIF,BETA=+0.0143 ALPHA=-2.8953 TOTAL=-2.8810,RAPPORT_PNL_AUTO_20260711_124510.md
vide_froid_binance,2026-07-11T12:52:10Z,2026-07-11T12:55:13Z,MASTER_VORTEX_V2_COLLAB_4H,0.0000,NEUTRE,BETA=+0.0000 ALPHA=+0.0000 TOTAL=+0.0000,RAPPORT_PNL_AUTO_20260711_125520.md
vide_froid_binance,2026-07-11T14:11:10Z,2026-07-11T14:26:09Z,MASTER_VORTEX_V2_COLLAB_4H,0.0000,NEUTRE,BETA=+0.0000 ALPHA=+0.0000 TOTAL=+0.0000,RAPPORT_PNL_AUTO_20260711_142617.md
vide_froid_binance,2026-07-11T14:29:54Z,2026-07-11T14:46:29Z,MASTER_VORTEX_V2_COLLAB_4H,0.0600,POSITIF,BETA=-0.1783 ALPHA=+0.2383 TOTAL=+0.0600,RAPPORT_PNL_AUTO_20260711_144635.md
vide_froid_binance,2026-07-11T14:48:17Z,2026-07-11T14:51:35Z,MASTER_VORTEX_V2_COLLAB_4H,-1.9125,NEGATIF,BETA=+0.0502 ALPHA=-1.9626 TOTAL=-1.9125,RAPPORT_PNL_AUTO_20260711_145139.md
vide_froid_binance,2026-07-11T14:56:52Z,2026-07-11T15:02:56Z,MASTER_VORTEX_V2_COLLAB_4H,0.0269,POSITIF,BETA=+0.0269 ALPHA=+0.0000 TOTAL=+0.0269,RAPPORT_PNL_AUTO_20260711_150259.md
vide_froid_binance,2026-07-11T15:38:21Z,2026-07-11T15:56:29Z,MASTER_VORTEX_V2_COLLAB_4H,1.2371,POSITIF,BETA=+1.2371 ALPHA=+0.0000 TOTAL=+1.2371,RAPPORT_PNL_AUTO_20260711_155649.md
vide_froid_binance,2026-07-11T15:57:54Z,2026-07-11T16:08:15Z,MASTER_VORTEX_V2_COLLAB_4H,-1.3398,NEGATIF,BETA=+0.2519 ALPHA=-1.5917 TOTAL=-1.3398,RAPPORT_PNL_AUTO_20260711_160822.md
vide_froid_binance,2026-07-11T16:08:54Z,2026-07-11T16:22:21Z,MASTER_VORTEX_V2_COLLAB_4H,-1.3392,NEGATIF,BETA=+0.5841 ALPHA=-1.9233 TOTAL=-1.3392,RAPPORT_PNL_AUTO_20260711_162224.md
vide_froid_vortex_v2_collab,2026-07-11T16:48:10Z,2026-07-11T17:02:33Z,MASTER_VORTEX_V2_COLLAB_4H,2.3260,POSITIF,BETA=+0.0333 ALPHA=+2.2928 TOTAL=+2.3260,RAPPORT_PNL_AUTO_20260711_170236.md
vide_froid_binance,2026-07-11T17:20:37Z,2026-07-11T17:29:16Z,MASTER_VORTEX_V2_COLLAB_4H,4.6340,POSITIF,BETA=-0.2135 ALPHA=+4.8475 TOTAL=+4.6340,RAPPORT_PNL_AUTO_20260711_172917.md
vide_froid_binance,2026-07-11T17:20:37Z,2026-07-11T17:29:18Z,MASTER_VORTEX_V2_COLLAB_4H,4.6340,POSITIF,BETA=-0.2135 ALPHA=+4.8475 TOTAL=+4.6340,RAPPORT_PNL_AUTO_20260711_174059.md
vide_froid_binance,2026-07-11T17:43:46Z,2026-07-11T17:43:53Z,MASTER_VORTEX_V2_COLLAB_4H,0.0000,NEUTRE,BETA=+0.0000 ALPHA=+0.0000 TOTAL=+0.0000,RAPPORT_PNL_AUTO_20260711_174359.md
vide_froid_binance,2026-07-11T17:43:46Z,2026-07-11T17:43:53Z,MASTER_VORTEX_V2_COLLAB_4H,0.0000,NEUTRE,BETA=+0.0000 ALPHA=+0.0000 TOTAL=+0.0000,RAPPORT_PNL_AUTO_20260711_174659.md
vide_froid_binance,2026-07-11T17:47:44Z,2026-07-11T18:19:37Z,MASTER_VORTEX_V2_COLLAB_4H,0.1491,POSITIF,BETA=+0.1491 ALPHA=+0.0000 TOTAL=+0.1491,RAPPORT_PNL_AUTO_20260711_181947.md
vide_froid_vortex_v2_collab,2026-07-11T18:20:16Z,2026-07-11T18:36:42Z,MASTER_VORTEX_V2_COLLAB_4H,1.6455,POSITIF,BETA=-0.2590 ALPHA=+1.9045 TOTAL=+1.6455,RAPPORT_PNL_AUTO_20260711_183651.md
vide_froid_binance,2026-07-11T18:37:09Z,2026-07-11T19:04:17Z,MASTER_VORTEX_V2_COLLAB_4H,0.4672,POSITIF,BETA=+0.4672 ALPHA=+0.0000 TOTAL=+0.4672,RAPPORT_PNL_AUTO_20260711_190423.md
vide_froid_binance,2026-07-11T18:37:09Z,2026-07-11T19:04:34Z,MASTER_VORTEX_V2_COLLAB_4H,0.4672,POSITIF,BETA=+0.4672 ALPHA=+0.0000 TOTAL=+0.4672,RAPPORT_PNL_AUTO_20260711_190727.md
vide_froid_vortex_v2_collab,2026-07-11T19:08:09Z,2026-07-11T19:41:14Z,MASTER_VORTEX_V2_COLLAB_4H,-0.8234,NEGATIF,BETA=+0.1031 ALPHA=-0.9265 TOTAL=-0.8234,RAPPORT_PNL_AUTO_20260711_194118.md
vide_froid_binance,2026-07-11T19:41:43Z,2026-07-11T19:45:57Z,MASTER_VORTEX_V2_COLLAB_4H,0.0000,NEUTRE,BETA=+0.0000 ALPHA=+0.0000 TOTAL=+0.0000,RAPPORT_PNL_AUTO_20260711_194559.md
vide_froid_vortex_v2_collab,2026-07-12T06:46:00Z,2026-07-12T06:51:34Z,MASTER_VORTEX_V2_COLLAB_4H,0.2048,POSITIF,BETA=+0.2048 ALPHA=+0.0000 TOTAL=+0.2048,RAPPORT_PNL_AUTO_20260712_065140.md
vide_froid_binance,2026-07-12T06:51:57Z,2026-07-12T06:56:05Z,MASTER_VORTEX_V2_COLLAB_4H,0.0800,POSITIF,BETA=+0.0800 ALPHA=+0.0000 TOTAL=+0.0800,RAPPORT_PNL_AUTO_20260712_065607.md
vide_froid_binance,2026-07-12T06:51:57Z,2026-07-12T06:56:05Z,MASTER_VORTEX_V2_COLLAB_4H,0.0800,POSITIF,BETA=+0.0800 ALPHA=+0.0000 TOTAL=+0.0800,RAPPORT_PNL_AUTO_20260712_065607.md
vide_froid_binance,2026-07-12T07:00:36Z,2026-07-12T07:14:01Z,MASTER_VORTEX_V2_COLLAB_4H,-1.0502,NEGATIF,BETA=-0.0679 ALPHA=-0.9823 TOTAL=-1.0502,RAPPORT_PNL_AUTO_20260712_071403.md
vide_froid_binance,2026-07-12T07:21:20Z,2026-07-12T07:24:36Z,MASTER_VORTEX_V2_COLLAB_4H,-0.0836,NEGATIF,BETA=-0.0836 ALPHA=+0.0000 TOTAL=-0.0836,RAPPORT_PNL_AUTO_20260712_072437.md
vide_froid_binance,2026-07-12T07:21:20Z,2026-07-12T07:24:36Z,MASTER_VORTEX_V2_COLLAB_4H,-0.0836,NEGATIF,BETA=-0.0836 ALPHA=+0.0000 TOTAL=-0.0836,RAPPORT_PNL_AUTO_20260712_072438.md
vide_froid_binance,2026-07-12T08:20:00Z,2026-07-12T08:28:38Z,MASTER_VORTEX_V2_COLLAB_4H,-0.0381,NEGATIF,BETA=-0.0381 ALPHA=+0.0000 TOTAL=-0.0381,RAPPORT_PNL_AUTO_20260712_082840.md
vide_froid_binance,2026-07-12T08:31:57Z,2026-07-12T08:43:04Z,MASTER_VORTEX_V2_COLLAB_4H,0.0924,POSITIF,BETA=+0.0924 ALPHA=+0.0000 TOTAL=+0.0924,RAPPORT_PNL_AUTO_20260712_084313.md
vide_froid_binance,2026-07-12T08:31:57Z,2026-07-12T08:43:04Z,MASTER_VORTEX_V2_COLLAB_4H,0.0924,POSITIF,BETA=+0.0924 ALPHA=+0.0000 TOTAL=+0.0924,RAPPORT_PNL_AUTO_20260712_084313.md
vide_froid_binance,2026-07-12T09:12:58Z,2026-07-12T09:26:47Z,MASTER_VORTEX_V2_COLLAB_4H,0.1172,POSITIF,BETA=+0.1172 ALPHA=+0.0000 TOTAL=+0.1172,RAPPORT_PNL_AUTO_20260712_092655.md
vide_froid_binance,2026-07-12T09:12:58Z,2026-07-12T09:26:47Z,MASTER_VORTEX_V2_COLLAB_4H,0.1172,POSITIF,BETA=+0.1172 ALPHA=+0.0000 TOTAL=+0.1172,RAPPORT_PNL_AUTO_20260712_092655.md
vide_froid_vortex_v2_collab,2026-07-12T10:15:43Z,2026-07-12T10:35:22Z,MASTER_VORTEX_V2_COLLAB_4H,-0.4127,NEGATIF,BETA=-0.2051 ALPHA=-0.2076 TOTAL=-0.4127,RAPPORT_PNL_AUTO_20260712_103529.md
vide_froid_vortex_v2_collab,2026-07-12T10:54:35Z,2026-07-12T11:07:16Z,MASTER_VORTEX_V2_COLLAB_4H,3.5409,POSITIF,BETA=-0.1171 ALPHA=+3.6580 TOTAL=+3.5409,RAPPORT_PNL_AUTO_20260712_110721.md
vide_froid_binance,2026-07-12T10:54:35Z,2026-07-12T11:07:16Z,MASTER_VORTEX_V2_COLLAB_4H,3.5409,POSITIF,BETA=-0.1171 ALPHA=+3.6580 TOTAL=+3.5409,RAPPORT_PNL_AUTO_20260712_110818.md
vide_froid_binance,2026-07-12T11:28:23Z,2026-07-12T11:32:11Z,MASTER_VORTEX_V2_COLLAB_4H,0.9513,POSITIF,BETA=-0.1575 ALPHA=+1.1088 TOTAL=+0.9513,RAPPORT_PNL_AUTO_20260712_113220.md
vide_froid_binance,2026-07-12T11:44:35Z,2026-07-12T11:44:49Z,MASTER_VORTEX_V2_COLLAB_4H,0.0000,NEUTRE,BETA=+0.0000 ALPHA=+0.0000 TOTAL=+0.0000,RAPPORT_PNL_AUTO_20260712_114454.md
vide_froid_binance,"","",MASTER_VORTEX_V2_COLLAB_4H,0.0000,NEUTRE,BETA=+0.0000 ALPHA=+0.0000 TOTAL=+0.0000,RAPPORT_PNL_AUTO_20260712_114545.md
vide_froid_binance,2026-07-12T11:47:41Z,2026-07-12T11:52:32Z,MASTER_VORTEX_V2_COLLAB_4H,-0.0186,NEGATIF,BETA=-0.0186 ALPHA=+0.0000 TOTAL=-0.0186,RAPPORT_PNL_AUTO_20260712_115237.md
vide_froid_binance,2026-07-12T11:47:41Z,2026-07-12T11:52:32Z,MASTER_VORTEX_V2_COLLAB_4H,-0.0186,NEGATIF,BETA=-0.0186 ALPHA=+0.0000 TOTAL=-0.0186,RAPPORT_PNL_AUTO_20260712_115731.md
vide_froid_binance,2026-07-12T11:58:02Z,2026-07-12T12:04:51Z,MASTER_VORTEX_V2_COLLAB_4H,0.0316,POSITIF,BETA=+0.0316 ALPHA=+0.0000 TOTAL=+0.0316,RAPPORT_PNL_AUTO_20260712_120451.md
vide_froid_binance,2026-07-12T12:05:36Z,2026-07-12T12:12:26Z,MASTER_VORTEX_V2_COLLAB_4H,0.7768,POSITIF,BETA=-0.0525 ALPHA=+0.8293 TOTAL=+0.7768,RAPPORT_PNL_AUTO_20260712_121231.md
vide_froid_binance,2026-07-12T12:05:36Z,2026-07-12T12:12:26Z,MASTER_VORTEX_V2_COLLAB_4H,0.7768,POSITIF,BETA=-0.0525 ALPHA=+0.8293 TOTAL=+0.7768,RAPPORT_PNL_AUTO_20260712_122231.md
vide_froid_binance,2026-07-12T12:22:56Z,2026-07-12T12:23:11Z,MASTER_VORTEX_V2_COLLAB_4H,0.0015,POSITIF,BETA=+0.0015 ALPHA=+0.0000 TOTAL=+0.0015,RAPPORT_PNL_AUTO_20260712_122314.md
vide_froid_binance,2026-07-12T12:22:56Z,2026-07-12T12:23:11Z,MASTER_VORTEX_V2_COLLAB_4H,0.0015,POSITIF,BETA=+0.0015 ALPHA=+0.0000 TOTAL=+0.0015,RAPPORT_PNL_AUTO_20260712_122521.md
vide_froid_binance,2026-07-12T12:25:34Z,2026-07-12T12:32:00Z,MASTER_VORTEX_V2_COLLAB_4H,2.4110,POSITIF,BETA=+0.1509 ALPHA=+2.2601 TOTAL=+2.4110,RAPPORT_PNL_AUTO_20260712_123202.md
vide_froid_binance,2026-07-12T12:32:34Z,2026-07-12T12:32:56Z,MASTER_VORTEX_V2_COLLAB_4H,0.1776,POSITIF,BETA=+0.1776 ALPHA=+0.0000 TOTAL=+0.1776,RAPPORT_PNL_AUTO_20260712_123856.md
vide_froid_binance,2026-07-12T12:39:23Z,2026-07-12T12:39:32Z,MASTER_VORTEX_V2_COLLAB_4H,0.0000,NEUTRE,BETA=+0.0000 ALPHA=+0.0000 TOTAL=+0.0000,RAPPORT_PNL_AUTO_20260712_123947.md
vide_froid_vortex_v2_collab,2026-07-12T13:02:37Z,2026-07-12T13:13:30Z,MASTER_VORTEX_V2_COLLAB_4H,0.3121,POSITIF,BETA=-0.1794 ALPHA=+0.4915 TOTAL=+0.3121,RAPPORT_PNL_AUTO_20260712_131339.md
vide_froid_binance,2026-07-12T13:13:58Z,2026-07-12T13:21:04Z,MASTER_VORTEX_V2_COLLAB_4H,0.0474,POSITIF,BETA=+0.0474 ALPHA=+0.0000 TOTAL=+0.0474,RAPPORT_PNL_AUTO_20260712_132104.md
vide_froid_binance,2026-07-12T13:13:58Z,2026-07-12T13:21:04Z,MASTER_VORTEX_V2_COLLAB_4H,0.0474,POSITIF,BETA=+0.0474 ALPHA=+0.0000 TOTAL=+0.0474,RAPPORT_PNL_AUTO_20260712_154829.md
vide_froid_binance,2026-07-12T13:13:58Z,2026-07-12T13:21:04Z,MASTER_VORTEX_V2_COLLAB_4H,0.0474,POSITIF,BETA=+0.0474 ALPHA=+0.0000 TOTAL=+0.0474,RAPPORT_PNL_AUTO_20260712_154913.md
vide_froid_binance,2026-07-12T15:52:48Z,2026-07-12T16:10:42Z,MASTER_VORTEX_V2_COLLAB_4H,0.0000,NEUTRE,BETA=+0.0000 ALPHA=+0.0000 TOTAL=+0.0000,RAPPORT_PNL_AUTO_20260712_161044.md
vide_froid_binance,2026-07-12T16:21:02Z,2026-07-12T16:33:20Z,MASTER_VORTEX_V2_COLLAB_4H,-0.1683,NEGATIF,BETA=-0.0792 ALPHA=-0.0891 TOTAL=-0.1683,RAPPORT_PNL_AUTO_20260712_163434.md
