ts,pair,regime,asp_side,drop_bid_pct_per_s,drop_ask_pct_per_s,max_drop_pct_per_s,spread_bps,spread_delta_bps,wall_bid_usdt,wall_ask_usdt,notional_ok,spoof,price_delta_pct,btc_price,btc_delta_pct,delay_s,price
2026-09-01T16:31:41Z,XLMUSDT,OBS,NONE,0.0,0.0,0.0,5.68,0.0,60298.12,59868.45,True,False,0.0,77535.01,0.0,0.704,0.1762
2026-09-01T16:31:42Z,SOLUSDT,OBS,NONE,0.0,0.0,0.0,0.99,0.0,419291.34,272252.86,True,False,0.0,77535.01,0.0,0.696,101.21
2026-09-01T16:31:43Z,ZAMAUSDT,OBS,NONE,0.0,0.0,0.0,1.97,0.0,12241.6,3279.89,True,False,0.0,77535.01,0.0,0.764,0.05074
2026-09-01T16:31:45Z,GOLD(PAXG)USDT,OBS,NONE,0.0,0.0,0.0,0.02,0.0,28592.2,13441.36,True,False,0.0,77535.01,0.0,0.734,4357.35
2026-09-01T16:31:46Z,ALGOUSDT,OBS,SELL,44.22,0.0,44.22,12.49,1.14,48404.4,42389.28,True,False,-0.0057,77535.01,0.0,0.678,0.08815
2026-09-01T16:31:48Z,IXSUSDT,OBS,NONE,0.0,0.0,0.0,87.49,0.0,868.69,433.81,True,False,0.0,77535.01,0.0,0.784,0.0569
2026-09-01T16:31:49Z,XDCUSDT,OBS,NONE,0.0,0.0,0.0,14.49,0.0,3206.67,2672.2,True,False,0.0,77535.01,0.0,0.761,0.0276
2026-09-01T16:31:51Z,QNTUSDT,OBS,NONE,0.0,0.0,0.0,9.5,0.0,1487.9,1644.57,True,False,0.0,77535.01,0.0,0.768,63.13
2026-09-01T16:32:05Z,JASMYUSDT,OBS,NONE,0.0,0.0,0.0,21.93,0.0,188079.78,26815.8,True,False,0.0,77535.01,0.0,0.723,0.005008
