ts,pair,regime,asp_side,drop_bid_pct_per_s,drop_ask_pct_per_s,max_drop_pct_per_s,spread_bps,spread_delta_bps,wall_bid_usdt,wall_ask_usdt,notional_ok,spoof,price_delta_pct,btc_price,btc_delta_pct,delay_s,price
2026-08-30T01:46:41Z,XLMUSDT,OBS,BUY,0.0,0.76,0.76,5.58,0.0,81241.0,72663.8,True,False,0.0,78095.0,0.0,0.831,0.1793
2026-08-30T01:46:42Z,SOLUSDT,OBS,NONE,0.0,0.0,0.0,0.95,0.0,401719.13,490726.2,True,False,0.0,78095.0,0.0,0.713,105.25
2026-08-30T01:46:43Z,ZAMAUSDT,OBS,NONE,0.0,0.0,0.0,1.91,0.0,2327.86,3382.93,True,False,0.0,78095.0,0.0,0.78,0.05226
2026-08-30T01:46:45Z,GOLD(PAXG)USDT,OBS,NONE,0.0,0.0,0.0,0.02,0.0,14989.96,33743.43,True,False,0.0,78095.0,0.0,0.813,4465.27
2026-08-30T01:46:49Z,ALGOUSDT,OBS,NONE,0.0,0.0,0.0,14.86,0.0,49313.8,49491.92,True,False,0.0,78095.0,0.0,0.797,0.08751
2026-08-30T01:46:51Z,IXSUSDT,OBS,NONE,0.0,0.0,0.0,78.68,0.0,5706.83,920.64,True,False,0.0,78095.0,0.0,0.715,0.0635
2026-08-30T01:46:53Z,XDCUSDT,OBS,NONE,0.0,0.0,0.0,10.89,0.0,2977.47,2633.65,True,False,0.0,78095.0,0.0,0.778,0.02755
2026-08-30T01:47:06Z,QNTUSDT,OBS,NONE,0.0,0.0,0.0,4.87,0.0,850.34,979.74,True,False,0.0,78095.0,0.0,12.681,61.44
2026-08-30T01:47:08Z,JASMYUSDT,OBS,NONE,0.0,0.0,0.0,10.84,0.0,22962.33,7247.84,True,False,0.0,78095.0,0.0,0.817,0.004611
