ts,pair,regime,asp_side,drop_bid_pct_per_s,drop_ask_pct_per_s,max_drop_pct_per_s,spread_bps,spread_delta_bps,wall_bid_usdt,wall_ask_usdt,notional_ok,spoof,price_delta_pct,btc_price,btc_delta_pct,delay_s,price
2026-08-31T10:11:06Z,XLMUSDT,OBS,SELL,2.39,0.0,2.39,5.67,0.0,64769.31,71740.54,True,False,0.0,78395.0,0.0,0.776,0.1761
2026-08-31T10:11:07Z,SOLUSDT,OBS,NONE,0.0,0.0,0.0,0.97,0.0,512242.56,512103.58,True,False,0.0,78395.0,0.0,0.759,102.85
2026-08-31T10:11:09Z,ZAMAUSDT,OBS,NONE,0.0,0.0,0.0,3.88,0.0,12433.25,4681.34,True,False,0.0,78395.0,0.0,0.771,0.05146
2026-08-31T10:11:10Z,GOLD(PAXG)USDT,OBS,NONE,0.0,0.0,0.0,0.02,0.0,24620.47,24661.84,True,False,0.0,78395.0,0.0,0.765,4448.94
2026-08-31T10:11:13Z,ALGOUSDT,OBS,NONE,0.0,0.0,0.0,12.93,0.0,43304.33,40348.26,True,False,0.0,78395.0,0.0,0.753,0.08501
2026-08-31T10:11:15Z,IXSUSDT,OBS,NONE,0.0,0.0,0.0,133.78,0.0,634.74,832.82,True,False,0.0,78395.0,0.0,0.734,0.0598
2026-08-31T10:11:17Z,XDCUSDT,OBS,NONE,0.0,0.0,0.0,7.16,0.0,2741.88,2721.92,True,False,0.0,78395.0,0.0,0.765,0.02794
2026-08-31T10:11:18Z,QNTUSDT,OBS,NONE,0.0,0.0,0.0,12.93,0.0,697.78,1434.44,True,False,0.0,78395.0,0.0,0.755,61.79
2026-08-31T10:11:20Z,JASMYUSDT,OBS,NONE,0.0,0.0,0.0,28.06,0.0,19079.31,13780.92,True,False,0.0,78395.0,0.0,1.275,0.004632
