ts,pair,event,regime,price,entry,qty,pnl_usdt,pnl_total,cadence,reason
2026-08-12T10:47:04Z,XRPUSDT,BUY,WATCH,1.02160000,1.02160000,9.78856695,0.0000,0.0000,2.84,SEED_START
2026-08-12T10:47:04Z,HBARUSDT,BUY,WATCH,0.06669000,0.06669000,149.94751837,0.0000,0.0000,2.50,SEED_START
2026-08-12T10:47:12Z,EDELUSDT,BUY,COOLING,0.00563000,0.00563000,3552.39786856,0.0000,0.0000,7.36,cooling_dd15=38.4>=18.6
2026-08-12T15:52:59Z,CCUSDT,BUY,COOLING,0.09954000,0.09954000,200.92425156,0.0000,0.0000,6.05,cooling_dd15=19.9>=12.0
2026-08-12T16:39:35Z,RIZEUSDT,BUY,IMPULSE,0.00624900,0.00624900,3200.51208193,0.0000,0.0000,15.03,impulse_pullback_dd6=13.9>=10.3 m6=34.3
