ts,pair,event,regime,price,entry,qty,pnl_usdt,pnl_total,cadence,reason
2026-07-31T19:37:48Z,XRPUSDT,BUY,WATCH,1.06250000,1.06250000,9.41176471,0.0000,0.0000,3.09,SEED_START
2026-07-31T19:37:49Z,HBARUSDT,BUY,WATCH,0.06818000,0.06818000,146.67057788,0.0000,0.0000,3.01,SEED_START
2026-07-31T19:37:55Z,RIZEUSDT,BUY,IMPULSE,0.00790900,0.00790900,2528.76469844,0.0000,0.0000,8.12,impulse_pullback_dd6=11.1>=5.9 m6=19.6
2026-08-01T10:47:33Z,QAITUSDT,BUY,COOLING,0.00492200,0.00492200,4063.38886631,0.0000,0.0000,10.54,cooling_dd15=54.4>=38.4
2026-08-01T13:14:42Z,RIZEUSDT,SELL,IMPULSE,0.00736700,0.00790900,2528.76469844,-1.3706,-1.3706,8.12,stop-6.5%_avant_2x
2026-08-01T20:12:43Z,RIZEUSDT,BUY,IMPULSE,0.00723000,0.00723000,2576.68181652,0.0000,-1.3706,8.00,cash_redeploy_18.63
2026-08-01T23:03:08Z,QAITUSDT,SELL,COOLING,0.00450000,0.00492200,4063.38886631,-1.7148,-3.0853,10.54,stop-8.43%_avant_2x
2026-08-02T01:32:43Z,RIZEUSDT,SELL,IMPULSE,0.00646300,0.00723000,2576.68181652,-1.9763,-5.0617,8.00,stop-6.4%_avant_2x
2026-08-02T07:46:37Z,ZBCNUSDT,BUY,COOLING,0.00184510,0.00184510,10153.69688345,0.0000,-5.0617,6.44,cooling_dd15=14.0>=8.0
2026-08-02T12:51:29Z,CHIPUSDT,BUY,COOLING,0.02510000,0.02510000,746.39785337,0.0000,-5.0617,5.05,cooling_dd15=21.7>=9.2
2026-08-02T17:31:22Z,BIOUSDT,BUY,COOLING,0.02253000,0.02253000,831.53955258,0.0000,-5.0617,4.67,cooling_dd15=21.6>=8.7
