ts,pair,regime,asp_side,drop_bid_pct_per_s,drop_ask_pct_per_s,max_drop_pct_per_s,spread_bps,spread_delta_bps,wall_bid_usdt,wall_ask_usdt,notional_ok,spoof,price_delta_pct,btc_price,btc_delta_pct,delay_s,price
2026-08-28T14:10:00Z,ADAUSDT,OBS,NONE,0.0,0.0,0.0,4.88,0.0,67345.17,101232.44,True,False,-0.0487,78862.06,0.0,0.804,0.2053
2026-08-28T14:10:02Z,XLMUSDT,OBS,NONE,0.0,0.0,0.0,5.52,0.0,71659.21,46070.23,True,False,0.0,78862.06,0.0,0.813,0.1816
2026-08-28T14:10:05Z,SOLUSDT,OBS,SELL,30.61,3.58,30.61,1.92,0.96,360965.79,364702.9,True,False,0.0335,78862.06,0.0,0.816,104.34
2026-08-28T14:10:08Z,ZAMAUSDT,OBS,NONE,0.0,0.0,0.0,7.73,0.0,2799.98,1645.99,True,False,0.0,78862.06,0.0,0.883,0.0519
2026-08-28T14:10:10Z,GOLD(PAXG)USDT,OBS,BUY,0.0,0.0,0.0,0.13,-0.02,24736.39,29662.89,True,False,-0.0001,78862.06,0.0,0.809,4568.18
2026-08-28T14:10:12Z,ALGOUSDT,OBS,NONE,0.0,0.0,0.0,22.8,0.0,26728.38,17013.05,True,False,0.0,78862.06,0.0,1.777,0.08751
2026-08-28T14:10:16Z,IXSUSDT,OBS,NONE,0.0,0.0,0.0,144.72,0.0,5706.83,1038.97,True,False,0.0,78862.06,0.0,1.758,0.0684
2026-08-28T14:10:20Z,XDCUSDT,OBS,NONE,0.0,0.0,0.0,10.61,0.0,2925.98,2783.77,True,False,0.0,78862.06,0.0,1.816,0.02828
2026-08-28T14:10:23Z,QNTUSDT,OBS,BUY,0.0,46.33,46.33,6.47,0.0,509.19,1984.64,True,False,0.0,78862.06,0.0,0.792,61.93
2026-08-28T14:10:26Z,JASMYUSDT,OBS,NONE,0.0,0.0,0.0,26.0,0.0,16106.59,8046.94,True,False,0.0,78862.06,0.0,0.935,0.004635
