ts,pair,regime,asp_side,drop_bid_pct_per_s,drop_ask_pct_per_s,max_drop_pct_per_s,spread_bps,spread_delta_bps,wall_bid_usdt,wall_ask_usdt,notional_ok,spoof,price_delta_pct,btc_price,btc_delta_pct,delay_s,price
2026-09-04T05:00:36Z,XLMUSDT,OBS,NONE,0.0,0.0,0.0,5.46,0.0,57537.89,64023.93,True,False,0.0,80990.0,0.0,0.885,0.1831
2026-09-04T05:00:37Z,SOLUSDT,OBS,NONE,0.0,0.0,0.0,0.96,0.0,503565.97,521421.94,True,False,0.0,80990.0,0.0,0.911,103.8
2026-09-04T05:00:39Z,ZAMAUSDT,OBS,NONE,0.0,0.0,0.0,5.56,0.0,13036.23,4637.57,True,False,0.0,80990.0,0.0,0.903,0.05395
2026-09-04T05:00:41Z,GOLD(PAXG)USDT,OBS,NONE,0.0,0.0,0.0,0.02,0.0,35461.02,38119.68,True,False,0.0,80990.0,0.0,0.772,4475.36
2026-09-04T05:00:43Z,ALGOUSDT,OBS,NONE,0.0,0.0,0.0,11.88,0.0,72256.34,51441.18,True,False,0.0,80990.0,0.0,0.967,0.0926
2026-09-04T05:00:45Z,IXSUSDT,OBS,NONE,0.0,0.0,0.0,37.95,0.0,910.84,633.09,True,False,0.0,80990.0,0.0,0.836,0.0526
2026-09-04T05:00:59Z,XDCUSDT,OBS,NONE,0.0,0.0,0.0,3.56,0.0,4013.43,2685.87,True,False,0.0,80990.0,0.0,1.813,0.02807
2026-09-04T05:01:01Z,QNTUSDT,OBS,NONE,0.0,0.0,0.0,7.61,0.0,1127.6,1039.27,True,False,0.0,80990.0,0.0,0.687,65.62
2026-09-04T05:01:02Z,JASMYUSDT,OBS,NONE,0.0,0.0,0.0,42.37,0.0,13688.68,4474.46,True,False,0.0,80990.0,0.0,0.697,0.004476
