ts,pair,regime,asp_side,drop_bid_pct_per_s,drop_ask_pct_per_s,max_drop_pct_per_s,spread_bps,spread_delta_bps,wall_bid_usdt,wall_ask_usdt,notional_ok,spoof,price_delta_pct,btc_price,btc_delta_pct,delay_s,price
2026-08-31T14:44:04Z,XLMUSDT,OBS,NONE,0.0,0.0,0.0,5.66,0.0,76321.71,79872.35,True,False,0.0,78619.63,0.0,0.808,0.1767
2026-08-31T14:44:06Z,SOLUSDT,OBS,BUY,0.0,6.19,6.19,0.96,-0.0,522380.24,456902.41,True,False,0.0097,78619.63,0.0,0.731,103.61
2026-08-31T14:44:07Z,ZAMAUSDT,OBS,SELL,2.11,0.0,2.11,3.99,0.0,12103.31,5650.1,True,False,0.0,78619.63,0.0,0.751,0.0501
2026-08-31T14:44:09Z,GOLD(PAXG)USDT,OBS,NONE,0.0,0.0,0.0,0.05,0.0,13167.92,37091.43,True,False,0.0,78619.63,0.0,0.746,4435.7
2026-08-31T14:44:10Z,ALGOUSDT,OBS,NONE,0.0,0.0,0.0,12.89,0.0,58568.62,54303.74,True,False,0.0,78619.63,0.0,0.764,0.08516
2026-08-31T14:44:12Z,IXSUSDT,OBS,BUY,0.0,0.18,0.18,130.51,0.0,634.74,967.68,True,False,0.0,78619.63,0.0,0.91,0.0612
2026-08-31T14:44:15Z,XDCUSDT,OBS,NONE,0.0,0.0,0.0,10.79,0.0,2933.47,2659.28,True,False,0.0,78619.63,0.0,1.762,0.02779
2026-08-31T14:44:17Z,QNTUSDT,OBS,NONE,0.0,0.0,0.0,4.87,0.0,1375.87,752.0,True,False,0.0,78619.63,0.0,1.742,61.64
2026-08-31T14:44:21Z,JASMYUSDT,OBS,NONE,0.0,0.0,0.0,38.1,0.0,7354.43,6829.23,True,False,0.0,78619.63,0.0,2.278,0.004729
