ts,pair,regime,asp_side,drop_bid_pct_per_s,drop_ask_pct_per_s,max_drop_pct_per_s,spread_bps,spread_delta_bps,wall_bid_usdt,wall_ask_usdt,notional_ok,spoof,price_delta_pct,btc_price,btc_delta_pct,delay_s,price
2026-09-04T11:35:53Z,XLMUSDT,OBS,NONE,0.0,0.0,0.0,5.4,0.0,73805.27,60427.06,True,False,0.0,81281.38,0.0,0.834,0.1852
2026-09-04T11:35:54Z,SOLUSDT,OBS,NONE,0.0,0.0,0.0,0.96,0.0,513546.63,480379.72,True,False,0.0,81281.38,0.0,0.829,104.36
2026-09-04T11:35:56Z,ZAMAUSDT,OBS,NONE,0.0,0.0,0.0,1.9,0.0,12690.41,4937.44,True,False,0.0,81281.38,0.0,0.793,0.05255
2026-09-04T11:35:58Z,GOLD(PAXG)USDT,OBS,NONE,0.0,0.0,0.0,0.02,0.0,36100.05,38653.83,True,False,0.0,81281.38,0.0,0.773,4468.8
2026-09-04T11:36:00Z,ALGOUSDT,OBS,NONE,0.0,0.0,0.0,14.0,0.0,76952.33,51971.38,True,False,0.0,81281.38,0.0,0.869,0.09282
2026-09-04T11:36:02Z,IXSUSDT,OBS,NONE,0.0,0.0,0.0,76.92,0.0,910.84,648.59,True,False,0.0,81281.38,0.0,0.854,0.0517
2026-09-04T11:36:05Z,XDCUSDT,OBS,NONE,0.0,0.0,0.0,17.72,0.0,2739.32,301.69,True,False,0.0,81281.38,0.0,1.307,0.02821
2026-09-04T11:36:06Z,QNTUSDT,OBS,NONE,0.0,0.0,0.0,11.97,0.0,3196.8,2038.44,True,False,0.0,81281.38,0.0,0.878,66.76
2026-09-04T11:36:09Z,JASMYUSDT,OBS,NONE,0.0,0.0,0.0,29.59,0.0,16393.97,12964.28,True,False,0.0,81281.38,0.0,0.823,0.004393
