ts,pair,regime,asp_side,drop_bid_pct_per_s,drop_ask_pct_per_s,max_drop_pct_per_s,spread_bps,spread_delta_bps,wall_bid_usdt,wall_ask_usdt,notional_ok,spoof,price_delta_pct,btc_price,btc_delta_pct,delay_s,price
2026-08-24T18:21:04Z,XRPUSDT,COOLING,SELL,16.3,10.65,16.3,2.69,0.67,164768.91,124318.56,True,False,0.0168,79024.08,0.0,2.7,1.4862
2026-08-24T18:21:46Z,HBARUSDT,COOLING,BUY,1.24,1.53,1.53,1.26,0.0,26871.33,28115.55,True,False,-0.0379,79024.08,0.0,40.985,0.07913
2026-08-24T18:22:28Z,QAITUSDT,IMPULSE,NONE,0.0,0.0,0.0,39.15,3.92,737.74,2600.73,True,False,-0.0196,79024.08,0.0,1.023,0.002559
2026-08-24T18:22:31Z,ZBCNUSDT,COOLING,SELL,51.43,0.0,51.43,21.42,-0.54,158.64,116.61,True,False,0.0027,79024.08,0.0,0.967,0.0018682
2026-08-24T18:23:13Z,WUSDT,COOLING,NONE,0.0,0.0,0.0,14.62,0.0,8974.92,5898.16,True,False,0.0,79024.08,0.0,1.037,0.009579
2026-08-24T18:24:25Z,XRPUSDT,COOLING,NONE,0.0,0.0,0.0,2.02,-0.67,111433.9,103307.65,True,False,0.0168,79023.74,-0.0004,1.15,1.4844
2026-08-24T18:24:28Z,HBARUSDT,COOLING,NONE,0.0,0.0,0.0,1.26,-0.0,21132.74,11422.1,True,False,0.0126,79023.74,-0.0004,0.953,0.07918
2026-08-24T18:24:29Z,QAITUSDT,IMPULSE,NONE,0.0,0.0,0.0,39.15,0.0,1130.33,1100.89,True,False,0.0,79023.74,-0.0004,0.958,0.002559
2026-08-24T18:24:31Z,ZBCNUSDT,COOLING,NONE,0.0,0.0,0.0,16.09,0.54,55.19,83.34,True,False,-0.0027,79023.74,-0.0004,1.074,0.0018662
2026-08-24T18:24:33Z,WUSDT,COOLING,NONE,0.0,0.0,0.0,13.58,0.0,8335.33,5897.72,True,False,0.0,79023.74,-0.0004,0.875,0.009575
2026-08-24T18:25:06Z,XRPUSDT,COOLING,SELL,20.67,0.0,20.67,2.7,2.02,144190.49,98799.7,True,False,0.0371,78967.15,-0.0716,1.033,1.482
2026-08-24T18:25:48Z,HBARUSDT,COOLING,NONE,0.0,0.0,0.0,1.26,0.0,9917.97,11001.58,True,False,0.0,78967.15,-0.0716,1.049,0.07912
2026-08-24T18:25:50Z,QAITUSDT,IMPULSE,BUY,0.0,3.9,3.9,62.72,0.0,1252.6,1040.18,True,False,0.0,78967.15,-0.0716,0.968,0.002559
2026-08-24T18:26:32Z,ZBCNUSDT,COOLING,NONE,0.0,0.0,0.0,21.99,-5.91,89.0,600.62,True,False,0.0241,78967.15,-0.0716,40.96,0.001863
2026-08-24T18:26:34Z,WUSDT,COOLING,NONE,0.0,0.0,0.0,15.63,0.0,10704.14,6177.62,True,False,0.0,78967.15,-0.0716,0.919,0.009599
2026-08-24T18:29:31Z,XRPUSDT,COOLING,SELL,20.05,14.39,20.05,2.7,0.67,123296.69,77952.2,True,False,0.0034,78989.57,0.0284,1.934,1.4824
2026-08-24T18:30:13Z,HBARUSDT,COOLING,NONE,0.0,0.0,0.0,1.26,-0.0,14424.25,30305.3,True,False,0.101,78989.57,0.0284,41.026,0.07919
2026-08-24T18:30:16Z,QAITUSDT,IMPULSE,NONE,0.0,0.0,0.0,62.72,0.0,914.23,1000.87,True,False,0.0,78989.57,0.0284,1.381,0.002559
2026-08-24T18:30:18Z,ZBCNUSDT,COOLING,BUY,0.0,12.04,12.04,16.61,0.0,56.0,425.1,True,False,0.0,78989.57,0.0284,1.021,0.0018658
2026-08-24T18:30:20Z,WUSDT,COOLING,NONE,0.0,0.0,0.0,5.2,-7.29,10707.75,7140.96,True,False,0.0364,78989.57,0.0284,0.981,0.0096
2026-08-24T18:31:32Z,XRPUSDT,COOLING,NONE,0.0,0.0,0.0,0.67,0.0,59744.16,66548.26,True,False,0.0,79066.35,0.0972,0.97,1.4887
2026-08-24T18:31:34Z,HBARUSDT,COOLING,NONE,0.0,0.0,0.0,1.26,0.0,28741.46,13048.03,True,False,0.0,79066.35,0.0972,1.014,0.0794
2026-08-24T18:31:37Z,QAITUSDT,IMPULSE,NONE,0.0,0.0,0.0,62.72,0.0,1189.36,1000.87,True,False,0.0,79066.35,0.0972,1.125,0.002559
2026-08-24T18:31:39Z,ZBCNUSDT,COOLING,NONE,0.0,0.0,0.0,39.74,15.02,308.56,109.52,True,False,0.0914,79066.35,0.0972,0.976,0.0018657
2026-08-24T18:31:42Z,WUSDT,COOLING,NONE,0.0,0.0,0.0,12.49,0.0,10388.16,6850.5,True,False,0.0,79066.35,0.0972,1.056,0.009608
2026-08-24T18:32:54Z,XRPUSDT,COOLING,BUY,0.0,0.24,0.24,4.03,1.34,74529.42,80195.81,True,False,-0.0067,79075.71,0.0118,0.95,1.4885
2026-08-24T18:32:56Z,HBARUSDT,COOLING,NONE,0.0,0.0,0.0,1.26,0.0,15485.59,26678.37,True,False,0.0,79075.71,0.0118,0.947,0.07929
2026-08-24T18:32:58Z,QAITUSDT,IMPULSE,NONE,0.0,0.0,0.0,105.2,-27.51,1189.36,1000.87,True,False,0.1756,79075.71,0.0118,1.186,0.002579
2026-08-24T18:33:02Z,ZBCNUSDT,COOLING,SELL,30.26,0.0,30.26,22.48,-2.68,136.81,187.45,True,False,0.0027,79075.71,0.0118,1.951,0.0018688
2026-08-24T18:33:05Z,WUSDT,COOLING,NONE,0.0,0.0,0.0,9.36,0.0,8902.66,7598.66,True,False,0.0,79075.71,0.0118,1.214,0.009613
2026-08-24T18:35:29Z,XRPUSDT,COOLING,SELL,13.11,4.04,13.11,2.69,0.0,123647.92,69346.73,True,False,-0.0067,78984.5,-0.1153,0.967,1.4858
2026-08-24T18:35:31Z,HBARUSDT,COOLING,BUY,0.55,14.47,14.47,1.26,0.0,26400.48,11366.68,True,False,-0.0252,78984.5,-0.1153,0.933,0.07938
2026-08-24T18:35:33Z,QAITUSDT,IMPULSE,NONE,0.0,0.0,0.0,46.89,0.0,941.48,1000.87,True,False,0.0,78984.5,-0.1153,1.023,0.002567
2026-08-24T18:35:36Z,ZBCNUSDT,COOLING,NONE,0.0,0.0,0.0,28.25,2.67,188.06,205.17,True,False,-0.024,78984.5,-0.1153,0.968,0.0018753
2026-08-24T18:35:39Z,WUSDT,COOLING,NONE,0.0,0.0,0.0,11.5,0.0,8546.72,10534.09,True,False,0.0,78984.5,-0.1153,0.966,0.009589
2026-08-24T18:36:16Z,XRPUSDT,COOLING,SELL,26.46,26.31,26.46,2.7,0.0,117692.59,123109.91,True,True,-0.0135,78935.32,-0.0623,0.89,1.4829
2026-08-24T18:36:18Z,HBARUSDT,COOLING,NONE,0.0,0.0,0.0,2.52,1.26,13892.47,10556.93,True,False,0.0189,78935.32,-0.0623,1.075,0.07922
2026-08-24T18:36:20Z,QAITUSDT,IMPULSE,NONE,0.0,0.0,0.0,58.65,-7.79,941.48,1000.87,True,False,-0.0391,78935.32,-0.0623,1.0,0.002567
2026-08-24T18:36:23Z,ZBCNUSDT,COOLING,NONE,0.0,0.0,0.0,44.11,-0.53,158.94,315.37,True,False,-0.0027,78935.32,-0.0623,0.937,0.0018858
2026-08-24T18:36:26Z,WUSDT,COOLING,NONE,0.0,0.0,0.0,11.5,0.0,9744.23,11648.91,True,False,0.0,78935.32,-0.0623,1.041,0.009566
2026-08-24T18:37:39Z,XRPUSDT,COOLING,SELL,43.58,0.0,43.58,0.68,-0.68,91357.61,87213.59,True,False,-0.0237,78857.32,-0.0988,0.965,1.4794
2026-08-24T18:37:41Z,HBARUSDT,COOLING,NONE,0.0,0.0,0.0,1.26,0.0,15673.81,14189.35,True,False,0.0,78857.32,-0.0988,1.048,0.07922
2026-08-24T18:37:44Z,QAITUSDT,IMPULSE,NONE,0.0,0.0,0.0,54.69,0.0,941.48,1000.87,True,False,0.0,78857.32,-0.0988,1.054,0.002567
2026-08-24T18:38:26Z,ZBCNUSDT,COOLING,BUY,0.65,1.19,1.19,29.84,-4.21,292.37,963.12,True,False,-0.1649,78857.32,-0.0988,40.93,0.0018824
2026-08-24T18:38:28Z,WUSDT,COOLING,NONE,0.0,0.0,0.0,12.56,0.0,10196.85,10186.83,True,False,0.0,78857.32,-0.0988,0.942,0.00955
2026-08-24T18:40:07Z,XRPUSDT,COOLING,SELL,1.55,0.0,1.55,1.36,-0.0,71889.31,118202.88,True,False,0.0271,78850.0,-0.0093,0.929,1.4761
2026-08-24T18:40:09Z,HBARUSDT,COOLING,NONE,0.0,0.0,0.0,1.27,0.0,29561.83,23327.73,True,False,0.0,78850.0,-0.0093,0.87,0.07902
2026-08-24T18:40:11Z,QAITUSDT,IMPULSE,NONE,0.0,0.0,0.0,54.69,0.0,839.6,1107.53,True,False,0.0,78850.0,-0.0093,0.963,0.002567
2026-08-24T18:40:13Z,ZBCNUSDT,COOLING,NONE,0.0,0.0,0.0,26.18,0.0,448.93,916.1,True,False,0.0,78850.0,-0.0093,0.967,0.0018738
2026-08-24T18:40:16Z,WUSDT,COOLING,NONE,0.0,0.0,0.0,11.5,0.0,8863.87,7256.9,True,False,0.0,78850.0,-0.0093,1.893,0.009562
2026-08-24T18:40:44Z,XRPUSDT,COOLING,SELL,7.9,0.0,7.9,2.03,-0.68,104130.74,99580.81,True,False,0.0034,78864.48,0.0184,0.904,1.4777
2026-08-24T18:40:48Z,HBARUSDT,COOLING,NONE,0.0,0.0,0.0,1.26,0.0,10055.8,27614.73,True,False,0.0,78864.48,0.0184,2.581,0.07902
2026-08-24T18:40:52Z,QAITUSDT,IMPULSE,NONE,0.0,0.0,0.0,54.69,-11.76,839.6,1107.53,True,False,0.0586,78864.48,0.0184,1.948,0.002567
2026-08-24T18:40:56Z,ZBCNUSDT,COOLING,NONE,0.0,0.0,0.0,14.94,-9.59,140.44,415.15,True,False,-0.0533,78864.48,0.0184,1.135,0.0018753
