ts,pair,regime,asp_side,drop_bid_pct_per_s,drop_ask_pct_per_s,max_drop_pct_per_s,spread_bps,spread_delta_bps,wall_bid_usdt,wall_ask_usdt,notional_ok,spoof,price_delta_pct,btc_price,btc_delta_pct,delay_s,price
2026-09-01T21:04:43Z,XLMUSDT,OBS,NONE,0.0,0.0,0.0,5.67,0.0,79961.2,62141.91,True,False,0.0,77376.0,0.0,1.734,0.1763
2026-09-01T21:04:44Z,SOLUSDT,OBS,NONE,0.0,0.0,0.0,1.0,0.0,436012.43,515006.69,True,False,0.0,77376.0,0.0,0.695,99.96
2026-09-01T21:04:47Z,ZAMAUSDT,OBS,NONE,0.0,0.0,0.0,4.02,0.0,5098.09,5032.19,True,False,0.0,77376.0,0.0,1.697,0.04978
2026-09-01T21:04:48Z,GOLD(PAXG)USDT,OBS,NONE,0.0,0.0,0.0,0.02,0.0,41511.0,22117.9,True,False,0.0,77376.0,0.0,0.679,4346.88
2026-09-01T21:04:50Z,ALGOUSDT,OBS,NONE,0.0,0.0,0.0,10.17,0.0,61555.46,42576.86,True,False,0.0,77376.0,0.0,0.765,0.0885
2026-09-01T21:05:03Z,IXSUSDT,OBS,NONE,0.0,0.0,0.0,107.14,0.0,804.15,625.95,True,False,0.0,77376.0,0.0,0.742,0.056
2026-09-01T21:05:05Z,XDCUSDT,OBS,NONE,0.0,0.0,0.0,10.78,0.0,3323.61,2775.29,True,False,0.0,77376.0,0.0,0.69,0.02782
2026-09-01T21:05:06Z,QNTUSDT,OBS,SELL,82.62,0.0,82.62,7.91,3.17,2242.69,1046.21,True,False,-0.0158,77376.0,0.0,0.789,63.15
2026-09-01T21:05:20Z,JASMYUSDT,OBS,NONE,0.0,0.0,0.0,25.87,0.0,10747.46,9856.47,True,False,0.0,77376.0,0.0,0.739,0.005019
