ts,pair,regime,asp_side,drop_bid_pct_per_s,drop_ask_pct_per_s,max_drop_pct_per_s,spread_bps,spread_delta_bps,wall_bid_usdt,wall_ask_usdt,notional_ok,spoof,price_delta_pct,btc_price,btc_delta_pct,delay_s,price
2026-08-30T04:48:23Z,XLMUSDT,OBS,NONE,0.0,0.0,0.0,5.58,0.0,70499.02,63450.84,True,False,0.0,78000.0,0.0,0.737,0.1791
2026-08-30T04:48:24Z,SOLUSDT,OBS,NONE,0.0,0.0,0.0,0.95,0.0,546355.75,494788.08,True,False,0.0,78000.0,0.0,0.805,104.75
2026-08-30T04:48:26Z,ZAMAUSDT,OBS,NONE,0.0,0.0,0.0,1.94,0.0,12455.08,3330.05,True,False,0.0,78000.0,0.0,0.801,0.05155
2026-08-30T04:48:27Z,GOLD(PAXG)USDT,OBS,BUY,0.0,1.14,1.14,0.02,0.0,18182.79,25093.67,True,False,0.0,78000.0,0.0,0.737,4461.27
2026-08-30T04:48:29Z,ALGOUSDT,OBS,NONE,0.0,0.0,0.0,12.68,0.0,60537.88,58922.6,True,False,0.0,78000.0,0.0,0.795,0.08687
2026-08-30T04:48:30Z,IXSUSDT,OBS,NONE,0.0,0.0,0.0,94.79,15.74,5708.81,797.44,True,False,0.0791,78000.0,0.0,0.773,0.0633
2026-08-30T04:48:32Z,XDCUSDT,OBS,NONE,0.0,0.0,0.0,7.27,0.0,2687.7,2707.34,True,False,0.0,78000.0,0.0,0.716,0.0275
2026-08-30T04:48:33Z,QNTUSDT,OBS,NONE,0.0,0.0,0.0,6.52,0.0,2430.4,1912.96,True,False,0.0,78000.0,0.0,0.811,61.37
2026-08-30T04:48:35Z,JASMYUSDT,OBS,NONE,0.0,0.0,0.0,30.53,0.0,20865.26,7415.89,True,False,0.0,78000.0,0.0,0.782,0.004583
