ts,pair,regime,asp_side,drop_bid_pct_per_s,drop_ask_pct_per_s,max_drop_pct_per_s,spread_bps,spread_delta_bps,wall_bid_usdt,wall_ask_usdt,notional_ok,spoof,price_delta_pct,btc_price,btc_delta_pct,delay_s,price
2026-08-30T01:15:20Z,XLMUSDT,OBS,NONE,0.0,0.0,0.0,5.57,0.0,66002.39,85668.77,True,False,0.0,78075.73,0.0,0.882,0.1794
2026-08-30T01:15:33Z,SOLUSDT,OBS,NONE,0.0,0.0,0.0,0.95,0.0,498446.86,480758.38,True,False,0.0,78075.73,0.0,0.771,105.23
2026-08-30T01:15:36Z,ZAMAUSDT,OBS,NONE,0.0,0.0,0.0,1.91,0.0,4621.64,2200.71,True,False,0.0,78075.73,0.0,0.832,0.05231
2026-08-30T01:15:50Z,GOLD(PAXG)USDT,OBS,NONE,0.0,0.0,0.0,0.02,0.0,16895.12,32674.6,True,False,0.0,78075.73,0.0,1.841,4464.87
2026-08-30T01:15:54Z,ALGOUSDT,OBS,BUY,5.72,14.83,14.83,5.71,-6.85,53783.94,41152.21,True,False,-0.0457,78075.73,0.0,1.676,0.08752
2026-08-30T01:15:55Z,IXSUSDT,OBS,NONE,0.0,0.0,0.0,109.98,0.0,5706.83,1038.97,True,False,0.0,78075.73,0.0,0.819,0.0637
2026-08-30T01:15:57Z,XDCUSDT,OBS,NONE,0.0,0.0,0.0,14.53,0.0,582.48,330.99,True,False,0.0,78075.73,0.0,0.797,0.02751
2026-08-30T01:16:10Z,QNTUSDT,OBS,NONE,0.0,0.0,0.0,3.26,0.0,1351.17,950.94,True,False,0.0,78075.73,0.0,0.736,61.35
2026-08-30T01:16:25Z,JASMYUSDT,OBS,NONE,0.0,0.0,0.0,19.64,-4.36,20477.66,10509.32,True,False,-0.0218,78075.73,0.0,12.759,0.004583
