ts,pair,regime,asp_side,drop_bid_pct_per_s,drop_ask_pct_per_s,max_drop_pct_per_s,spread_bps,spread_delta_bps,wall_bid_usdt,wall_ask_usdt,notional_ok,spoof,price_delta_pct,btc_price,btc_delta_pct,delay_s,price
2026-08-29T04:58:07Z,XLMUSDT,OBS,NONE,0.0,0.0,0.0,5.61,0.0,67077.27,67694.63,True,False,0.0,77625.13,0.0,0.742,0.1782
2026-08-29T04:58:09Z,SOLUSDT,OBS,NONE,0.0,0.0,0.0,0.96,0.0,590162.29,525943.88,True,False,0.0,77625.13,0.0,0.806,103.84
2026-08-29T04:58:12Z,ZAMAUSDT,OBS,SELL,2.52,0.0,2.52,5.89,0.0,12307.1,3523.81,True,False,0.0,77625.13,0.0,0.812,0.05097
2026-08-29T04:58:15Z,GOLD(PAXG)USDT,OBS,NONE,0.0,0.0,0.0,0.02,0.0,33132.94,26972.71,True,False,0.0,77625.13,0.0,0.765,4460.53
2026-08-29T04:58:41Z,ALGOUSDT,OBS,SELL,0.1,0.0,0.1,11.58,0.0,37645.69,46045.11,True,False,0.0,77625.13,0.0,12.796,0.08637
2026-08-29T04:58:42Z,IXSUSDT,OBS,NONE,0.0,0.0,0.0,118.34,0.0,5706.83,1038.97,True,False,0.0,77625.13,0.0,0.693,0.0676
2026-08-29T04:58:44Z,XDCUSDT,OBS,NONE,0.0,0.0,0.0,14.45,0.0,2822.12,3011.77,True,False,0.0,77625.13,0.0,0.8,0.02769
2026-08-29T04:58:45Z,QNTUSDT,OBS,NONE,0.0,0.0,0.0,6.51,0.0,1417.26,2246.44,True,False,0.0,77625.13,0.0,0.847,61.52
2026-08-29T04:58:48Z,JASMYUSDT,OBS,NONE,0.0,0.0,0.0,30.8,0.0,10228.13,8070.18,True,False,0.0,77625.13,0.0,0.702,0.004536
