ts,pair,event,regime,price,entry,qty,pnl_usdt,pnl_total,cadence,reason
2026-07-31T09:40:51Z,XRPUSDT,BUY,WATCH,1.07370000,1.07370000,9.31358853,0.0000,0.0000,2.43,SEED_START
2026-07-31T09:40:52Z,HBARUSDT,BUY,WATCH,0.06823000,0.06823000,146.56309541,0.0000,0.0000,3.28,SEED_START
2026-07-31T09:40:56Z,RIZEUSDT,BUY,IMPULSE,0.00797400,0.00797400,2508.15149235,0.0000,0.0000,8.85,impulse_pullback_dd6=20.8>=11.9 m6=39.7
2026-07-31T09:41:02Z,PYTHUSDT,BUY,COOLING,0.03978000,0.03978000,502.76520865,0.0000,0.0000,5.58,cooling_dd15=24.1>=9.9
2026-07-31T10:15:41Z,QAITUSDT,BUY,IMPULSE,0.00466700,0.00466700,4285.40818513,0.0000,0.0000,10.54,impulse_pullback_dd6=5.5>=5.3 m6=8.6
