ts,pair,regime,asp_side,drop_bid_pct_per_s,drop_ask_pct_per_s,max_drop_pct_per_s,spread_bps,spread_delta_bps,wall_bid_usdt,wall_ask_usdt,notional_ok,spoof,price_delta_pct,btc_price,btc_delta_pct,delay_s,price
2026-09-01T18:02:37Z,XLMUSDT,OBS,SELL,13.23,12.51,13.23,5.66,0.0,63894.25,65226.62,True,False,0.0,77256.51,0.0,0.815,0.1767
2026-09-01T18:02:39Z,SOLUSDT,OBS,NONE,0.0,0.0,0.0,0.99,0.0,378552.07,343507.72,True,False,0.0,77256.51,0.0,0.733,100.66
2026-09-01T18:02:40Z,ZAMAUSDT,OBS,NONE,0.0,0.0,0.0,3.98,0.0,11874.14,3955.68,True,False,0.0,77256.51,0.0,0.784,0.05014
2026-09-01T18:02:42Z,GOLD(PAXG)USDT,OBS,NONE,0.0,0.0,0.0,0.05,-4.48,13499.57,13612.2,True,False,-0.0026,77256.51,0.0,0.837,4351.5
2026-09-01T18:02:43Z,ALGOUSDT,OBS,NONE,0.0,0.0,0.0,12.51,0.0,61384.1,60940.61,True,False,0.0,77256.51,0.0,0.766,0.08788
2026-09-01T18:02:45Z,IXSUSDT,OBS,NONE,0.0,0.0,0.0,105.63,0.0,854.8,1110.29,True,False,0.0,77256.51,0.0,0.76,0.0564
2026-09-01T18:02:47Z,XDCUSDT,OBS,NONE,0.0,0.0,0.0,10.82,0.0,2985.28,2717.5,True,False,0.0,77256.51,0.0,0.752,0.02773
2026-09-01T18:02:49Z,QNTUSDT,OBS,NONE,0.0,0.0,0.0,32.62,0.0,100.9,305.01,False,False,0.0,77256.51,0.0,0.814,64.19
2026-09-01T18:02:51Z,JASMYUSDT,OBS,NONE,0.0,0.0,0.0,24.51,0.0,10903.39,10948.64,True,False,0.0,77256.51,0.0,0.82,0.004897
