ts,cycle,side,status,orderId,executedQty,cumQuote,pnl,msg
2026-02-25T23:37:57Z,1,BUY,ERROR,,,,,code=-1131 msg='recvWindow' must be less than 60000.
2026-02-25T23:38:05Z,2,BUY,ERROR,,,,,code=-1131 msg='recvWindow' must be less than 60000.
2026-02-25T23:38:14Z,3,BUY,ERROR,,,,,code=-1131 msg='recvWindow' must be less than 60000.
2026-02-25T23:40:37Z,1,BUY,FILLED,6629468,0.00017000,11.54146320,,ok
2026-02-25T23:40:38Z,1,SELL,FILLED,6629473,0.00017000,11.54146150,-0.00000170,ok
2026-02-25T23:40:47Z,2,BUY,FILLED,6629564,0.00017000,11.54034290,,ok
2026-02-25T23:42:53Z,1,BUY,FILLED,6630861,0.00017000,11.51466440,,ok
2026-02-25T23:42:54Z,1,SELL,FILLED,6630864,0.00017000,11.51466270,-0.00000170,ok
2026-02-25T23:43:03Z,2,BUY,FILLED,6630967,0.00017000,11.49568050,,ok
2026-02-25T23:43:04Z,2,SELL,FILLED,6630974,0.00017000,11.49567880,-0.00000170,ok
2026-02-25T23:43:13Z,3,BUY,FILLED,6631043,0.00017000,11.49568050,,ok
2026-02-25T23:43:14Z,3,SELL,FILLED,6631045,0.00017000,11.49567880,-0.00000170,ok
2026-02-25T23:43:23Z,4,BUY,FILLED,6631128,0.00017000,11.49864700,,ok
2026-02-25T23:43:24Z,4,SELL,FILLED,6631131,0.00017000,11.49864530,-0.00000170,ok
2026-02-25T23:43:33Z,5,BUY,FILLED,6631170,0.00017000,11.49864700,,ok
2026-02-25T23:43:34Z,5,SELL,FILLED,6631174,0.00017000,11.49864530,-0.00000170,ok
2026-02-25T23:43:43Z,6,BUY,FILLED,6631261,0.00017000,11.50147920,,ok
2026-02-25T23:43:44Z,6,SELL,FILLED,6631262,0.00017000,11.50147750,-0.00000170,ok
2026-02-25T23:43:53Z,7,BUY,FILLED,6631298,0.00017000,11.50147920,,ok
2026-02-25T23:43:54Z,7,SELL,FILLED,6631299,0.00017000,11.50147750,-0.00000170,ok
2026-02-25T23:44:03Z,8,BUY,FILLED,6631392,0.00017000,11.50412100,,ok
2026-02-25T23:44:04Z,8,SELL,FILLED,6631399,0.00017000,11.50411930,-0.00000170,ok
2026-02-25T23:44:13Z,9,BUY,FILLED,6631504,0.00017000,11.50463780,,ok
2026-02-25T23:44:14Z,9,SELL,FILLED,6631513,0.00017000,11.50463610,-0.00000170,ok
2026-02-25T23:44:23Z,10,BUY,FILLED,6631556,0.00017000,11.50463780,,ok
2026-02-25T23:44:24Z,10,SELL,FILLED,6631562,0.00017000,11.50463610,-0.00000170,ok
2026-02-25T23:44:33Z,11,BUY,FILLED,6631640,0.00017000,11.50731530,,ok
2026-02-25T23:44:34Z,11,SELL,FILLED,6631648,0.00017000,11.50731360,-0.00000170,ok
2026-02-25T23:44:43Z,12,BUY,FILLED,6631679,0.00017000,11.50731530,,ok
2026-02-25T23:44:44Z,12,SELL,FILLED,6631683,0.00017000,11.50731360,-0.00000170,ok
2026-02-25T23:44:53Z,13,BUY,FILLED,6631754,0.00017000,11.50618480,,ok
2026-02-25T23:44:54Z,13,SELL,FILLED,6631762,0.00017000,11.50618310,-0.00000170,ok
2026-02-25T23:45:02Z,14,BUY,FILLED,6631786,0.00017000,11.50618480,,ok
2026-02-25T23:45:03Z,14,SELL,FILLED,6631793,0.00017000,11.50618310,-0.00000170,ok
2026-02-25T23:45:12Z,15,BUY,FILLED,6631898,0.00017000,11.50390170,,ok
2026-02-25T23:45:13Z,15,SELL,FILLED,6631902,0.00017000,11.50390000,-0.00000170,ok
2026-02-25T23:45:22Z,16,BUY,FILLED,6631936,0.00017000,11.50390170,,ok
2026-02-25T23:45:23Z,16,SELL,FILLED,6631996,0.00017000,11.50997410,0.00607240,ok
2026-02-25T23:45:32Z,17,BUY,FILLED,6632048,0.00017000,11.50997580,,ok
2026-02-25T23:45:33Z,17,SELL,FILLED,6632051,0.00017000,11.50997410,-0.00000170,ok
2026-02-25T23:45:42Z,18,BUY,FILLED,6632147,0.00017000,11.52464000,,ok
