ts,cycle,side,status,entryPrice,exitPrice,qty,bps,pnl,exitReason,holdSec,msg
2026-03-10T11:51:35Z,1,SKIP,SKIPPED,,,,,0,radar_block,reason=momentum_too_small conf=0.0127 mom_sig=0.00934038 raw_mom_bps=0.00000000 spread_bps=2.96030000 tension=0.00934038 bid_drop=0.00000000 ask_drop=0.06071246
2026-03-10T11:51:42Z,2,SKIP,SKIPPED,,,,,0,radar_block,reason=spread_too_wide conf=0.5 mom_sig=0.61423583 raw_mom_bps=0.00000000 spread_bps=15.32490000 tension=0.61423583 bid_drop=3.99253292 ask_drop=0.00000000
2026-03-10T11:51:50Z,3,SKIP,SKIPPED,,,,,0,radar_block,reason=spread_too_wide conf=0.0 mom_sig=0.00000000 raw_mom_bps=28.24342604 spread_bps=20.94800000 tension=0.00000000 bid_drop=0.00000000 ask_drop=0.00000000
2026-03-10T11:51:57Z,4,SKIP,SKIPPED,,,,,0,radar_block,reason=momentum_too_small conf=0.0004 mom_sig=0.00025366 raw_mom_bps=0.00000000 spread_bps=0.67940000 tension=0.00025366 bid_drop=0.00000000 ask_drop=0.00164880
2026-03-10T11:52:04Z,5,SKIP,SKIPPED,,,,,0,radar_block,reason=momentum_too_small conf=0.3159 mom_sig=0.00000000 raw_mom_bps=20.85017659 spread_bps=1.55700000 tension=0.00000000 bid_drop=0.00000000 ask_drop=0.00000000
2026-03-10T11:52:13Z,6,SKIP,SKIPPED,,,,,0,radar_block,reason=momentum_too_small conf=0.3098 mom_sig=0.00000000 raw_mom_bps=0.00000000 spread_bps=1.83970000 tension=0.00000000 bid_drop=0.00000000 ask_drop=0.00000000
2026-03-10T11:52:20Z,7,SKIP,SKIPPED,,,,,0,radar_block,reason=spread_too_wide conf=0.5 mom_sig=1.17493453 raw_mom_bps=0.00000000 spread_bps=23.29100000 tension=1.17493453 bid_drop=7.63707445 ask_drop=0.07123995
2026-03-10T11:52:27Z,8,SKIP,SKIPPED,,,,,0,radar_block,reason=spread_too_wide conf=0.0008 mom_sig=0.00092297 raw_mom_bps=0.00000000 spread_bps=14.75110000 tension=0.00092297 bid_drop=0.00000000 ask_drop=0.00599930
2026-03-10T11:52:47Z,9,SELL,FILLED,70503.00000000,70654.00000000,0.00800000,-21.41752833,-1.20800000,stop_loss,radar=long conf=0.6533 size_note=strong_conf_full soft=0 pct=-0.21417528 tension=3.32849744 bid_drop=21.63523336 ask_drop=0.00000000
2026-03-10T11:52:54Z,10,SKIP,SKIPPED,,,,,0,impulse_resonance_wait,reason=wall_not_collapsed tension=0.61095517 bid_drop=3.97120859 ask_drop=0.00000000
2026-03-10T11:53:00Z,11,SKIP,SKIPPED,,,,,0,radar_block,reason=spread_too_wide conf=0.5 mom_sig=1.62309538 raw_mom_bps=0.00000000 spread_bps=12.40990000 tension=1.62309538 bid_drop=10.55011994 ask_drop=0.00350048
