ts,pair,event,regime,price,entry,qty,pnl_usdt,pnl_total,cadence,reason
2026-07-22T21:17:32Z,TELUSDT,BUY,COOLING,0.00182300,0.00182300,10970.92704334,0.0000,0.0000,5.61,cooling_dd15=27.9>=11.9
2026-07-22T21:17:35Z,RWAINCUSDT,BUY,IMPULSE,0.00334500,0.00334500,5979.07324365,0.0000,0.0000,16.07,impulse_pullback_dd6=9.8>=8.3 m6=27.6
2026-07-22T21:23:18Z,RIZEUSDT,BUY,IMPULSE,0.00833300,0.00833300,2400.09600384,0.0000,0.0000,11.06,impulse_pullback_dd6=7.4>=5.5 m6=8.0
2026-07-23T08:02:32Z,QAITUSDT,BUY,COOLING,0.00714600,0.00714600,2798.76854184,0.0000,0.0000,4.39,cooling_dd15=33.8>=28.1
2026-07-23T15:40:01Z,CCUSDT,BUY,COOLING,0.11929000,0.11929000,167.65864699,0.0000,0.0000,4.05,cooling_dd15=20.7>=8.0
2026-07-23T19:29:39Z,CHIPUSDT,BUY,COOLING,0.02890000,0.02890000,692.04152249,0.0000,0.0000,5.52,cooling_dd15=15.8>=8.0
2026-07-23T19:59:40Z,RWAINCUSDT,SELL,IMPULSE,0.00290600,0.00334500,5979.07324365,-2.6248,-2.6248,16.07,stop-12.85%_avant_2x
2026-07-23T20:00:14Z,RWAINCUSDT,BUY,IMPULSE,0.00290600,0.00290600,6656.50265365,0.0000,-2.6248,16.07,reentry_dump_dd=19.1>=6.0 from=0.003590
2026-07-24T13:44:19Z,TELUSDT,SELL,COOLING,0.00171300,0.00182300,10970.92704334,-1.2068,-3.8316,5.61,stop-6.0%_avant_2x
2026-07-24T13:44:52Z,TELUSDT,BUY,IMPULSE_WAIT,0.00171300,0.00171300,11116.22663037,0.0000,-3.8316,5.52,reentry_dump_dd=7.3>=6.0 from=0.001848
2026-07-24T14:19:07Z,BIOUSDT,BUY,COOLING,0.02715000,0.02715000,701.36634320,0.0000,-3.8316,4.02,cooling_dd15=8.2>=8.0
2026-07-24T14:25:25Z,QAITUSDT,SELL,COOLING,0.00669100,0.00714600,2798.76854184,-1.2734,-5.1051,4.39,stop-6.0%_avant_2x
2026-07-24T14:25:56Z,QAITUSDT,BUY,IMPULSE,0.00669100,0.00669100,2798.34647978,0.0000,-5.1051,5.44,reentry_dump_dd=14.4>=6.0 from=0.007816
2026-07-24T15:27:44Z,EDELUSDT,BUY,COOLING,0.00828000,0.00828000,2261.32080872,0.0000,-5.1051,9.32,cooling_dd15=50.7>=28.9
2026-07-25T09:45:24Z,RIZEUSDT,SELL,IMPULSE,0.00758000,0.00833300,2400.09600384,-1.8073,-6.9123,11.06,stop-8.84%_avant_2x
2026-07-25T17:50:46Z,KITEUSDT,BUY,COOLING,0.10489000,0.10489000,174.20076483,0.0000,-6.9123,8.21,cooling_dd15=26.4>=10.6
2026-07-25T19:38:07Z,EDELUSDT,SELL,COOLING,0.00764000,0.00828000,2261.32080872,-1.4472,-8.3596,9.32,stop-7.46%_avant_2x
