ts,cycle,side,status,entryPrice,exitPrice,qty,bps,pnl,exitReason,holdSec,msg
2026-02-28T13:54:18Z,1,SKIP,SKIPPED,,,,,0,tactic_mismatch,mom=short structure=long
2026-02-28T13:54:24Z,2,SKIP,SKIPPED,,,,,0,tactic_mismatch,mom=short structure=long
2026-02-28T13:54:30Z,3,SKIP,SKIPPED,,,,,0,radar_block,reason=momentum_too_small conf=0.349 mom_bps=0.00000000 spread_bps=0.04630000
2026-02-28T13:54:35Z,4,SKIP,SKIPPED,,,,,0,radar_block,reason=momentum_too_small conf=0.3473 mom_bps=0.00000000 spread_bps=0.12350000
2026-02-28T13:54:41Z,5,SKIP,SKIPPED,,,,,0,radar_block,reason=spread_too_wide conf=0.0 mom_bps=0.00000000 spread_bps=12.35400000
2026-02-28T13:54:47Z,6,SKIP,SKIPPED,,,,,0,radar_block,reason=momentum_too_small conf=0.2488 mom_bps=0.00000000 spread_bps=4.62630000
2026-02-28T13:55:13Z,7,BUY,FILLED,64837.30000000,64837.30000000,0.03800000,0.00000000,0.00000000,stop_loss,radar=long soft=0
2026-02-28T13:55:18Z,8,SKIP,SKIPPED,,,,,0,tactic_mismatch,mom=short structure=long
2026-02-28T13:55:24Z,9,SKIP,SKIPPED,,,,,0,radar_block,reason=momentum_too_small conf=0.3443 mom_bps=0.00000000 spread_bps=0.26280000
2026-02-28T13:55:30Z,10,SKIP,SKIPPED,,,,,0,radar_block,reason=momentum_too_small conf=0.3449 mom_bps=0.00000000 spread_bps=0.23190000
2026-02-28T13:55:35Z,11,SKIP,SKIPPED,,,,,0,radar_block,reason=momentum_too_small conf=0.3463 mom_bps=0.00000000 spread_bps=0.17010000
2026-02-28T13:55:41Z,12,SKIP,SKIPPED,,,,,0,radar_block,reason=momentum_too_small conf=0.2648 mom_bps=0.00000000 spread_bps=3.89590000
