ts,cycle,mode,entry_side,entry_price,exit_price,qty,bps,pnl_usdt,reason,msg
2026-02-28T12:41:58Z,1,ORDER,BUY,64001.90000000,64000.10000000,0.03900000,-0.28124165,-0.07020000,hold_cycle,ok
2026-02-28T12:42:04Z,2,ORDER,SELL,63997.90000000,63997.90000000,0.03900000,-0.00000000,-0.00000000,hold_cycle,ok
2026-02-28T12:42:09Z,3,ORDER,BUY,63997.90000000,63997.90000000,0.03900000,0.00000000,0.00000000,hold_cycle,ok
2026-02-28T12:42:15Z,4,ORDER,SELL,64012.00000000,64012.00000000,0.03900000,-0.00000000,-0.00000000,hold_cycle,ok
2026-02-28T12:42:21Z,5,ORDER,BUY,64012.00000000,64012.00000000,0.03900000,0.00000000,0.00000000,hold_cycle,ok
2026-02-28T12:42:27Z,6,ORDER,SELL,64012.20000000,64012.20000000,0.03900000,-0.00000000,-0.00000000,hold_cycle,ok
2026-02-28T12:42:33Z,7,ORDER,BUY,64012.20000000,64012.60000000,0.03900000,0.06248809,0.01560000,hold_cycle,ok
2026-02-28T12:42:38Z,8,ORDER,SELL,64012.90000000,64012.90000000,0.03900000,-0.00000000,-0.00000000,hold_cycle,ok
2026-02-28T12:42:50Z,9,ORDER,BUY,64012.90000000,64012.90000000,0.03900000,0.00000000,0.00000000,hold_cycle,ok
2026-02-28T12:42:56Z,10,ORDER,SELL,64013.30000000,64013.40000000,0.03900000,-0.01562175,-0.00390000,hold_cycle,ok
2026-02-28T12:43:03Z,11,ORDER,BUY,64013.30000000,64013.50000000,0.03900000,0.03124351,0.00780000,hold_cycle,ok
2026-02-28T12:43:11Z,12,ORDER,SELL,64013.50000000,64013.50000000,0.03900000,-0.00000000,-0.00000000,hold_cycle,ok
