ts,cycle,mode,entry_side,entry_price,exit_price,qty,bps,pnl_usdt,reason,msg
2026-02-28T12:59:54Z,1,ORDER,BUY,63978.70000000,63967.70000000,0.03900000,-1.71932221,-0.42900000,hold_cycle,ok
2026-02-28T13:00:26Z,2,ORDER,SELL,63967.60000000,63985.40000000,0.03900000,-2.78265872,-0.69420000,hold_cycle,ok
2026-02-28T13:00:56Z,3,ORDER,BUY,63986.60000000,63986.90000000,0.03900000,0.04688482,0.01170000,hold_cycle,ok
2026-02-28T13:01:07Z,4,ORDER,SELL,63988.00000000,64048.80000000,0.03900000,-9.50178158,-2.37120000,stop_loss,ok
2026-02-28T13:01:31Z,5,ORDER,BUY,64048.80000000,63980.50000000,0.03900000,-10.66374390,-2.66370000,stop_loss,ok
2026-02-28T13:01:57Z,6,ORDER,SELL,63980.50000000,63979.40000000,0.03900000,0.17192738,0.04290000,hold_cycle,ok
2026-02-28T13:02:22Z,7,ORDER,BUY,63979.40000000,63979.40000000,0.03900000,0.00000000,0.00000000,hold_cycle,ok
2026-02-28T13:02:53Z,8,ORDER,SELL,63979.40000000,63953.60000000,0.03900000,4.03254798,1.00620000,hold_cycle,ok
2026-02-28T13:03:20Z,9,ORDER,BUY,63892.10000000,63866.00000000,0.03900000,-4.08501208,-1.01790000,hold_cycle,ok
2026-02-28T13:03:47Z,10,ORDER,SELL,63879.50000000,63872.00000000,0.03900000,1.17408558,0.29250000,hold_cycle,ok
2026-02-28T13:04:13Z,11,ORDER,BUY,63872.00000000,63879.10000000,0.03900000,1.11159820,0.27690000,hold_cycle,ok
2026-02-28T13:04:40Z,12,ORDER,SELL,63881.20000000,63881.20000000,0.03900000,-0.00000000,-0.00000000,hold_cycle,ok
