ts,cycle,side,status,entryPrice,exitPrice,qty,bps,pnl,exitReason,holdSec,msg
2026-02-28T14:16:33Z,1,SKIP,SKIPPED,,,,,0,radar_block,reason=momentum_too_small conf=0.35 mom_bps=0.00000000 spread_bps=0
2026-02-28T14:17:02Z,2,SKIP,SKIPPED,,,,,0,radar_block,reason=momentum_too_small conf=0.35 mom_bps=0.00000000 spread_bps=0
2026-02-28T14:18:25Z,3,BUY,FILLED,64858.80000000,64858.80000000,0.03800000,0.00000000,0.00000000,stop_loss,radar=long soft=0
2026-02-28T14:18:31Z,4,SKIP,SKIPPED,,,,,0,radar_block,reason=momentum_too_small conf=0.302 mom_bps=0.00000000 spread_bps=2.19220000
2026-02-28T14:18:37Z,5,SKIP,SKIPPED,,,,,0,radar_block,reason=momentum_too_small conf=0.3412 mom_bps=0.00000000 spread_bps=0.40150000
2026-02-28T14:18:43Z,6,SKIP,SKIPPED,,,,,0,tactic_mismatch,mom=short structure=long
2026-02-28T14:18:51Z,7,SKIP,SKIPPED,,,,,0,radar_block,reason=momentum_too_small conf=0.2976 mom_bps=0.00000000 spread_bps=2.39350000
2026-02-28T14:18:57Z,8,SKIP,SKIPPED,,,,,0,radar_block,reason=momentum_too_small conf=0.3034 mom_bps=0.00000000 spread_bps=2.13100000
2026-02-28T14:19:03Z,9,SKIP,SKIPPED,,,,,0,tactic_mismatch,mom=short structure=long
2026-02-28T14:19:28Z,10,SELL,FILLED,64686.20000000,64686.20000000,0.03800000,-0.00000000,-0.00000000,stop_loss,radar=short soft=0
2026-02-28T14:19:34Z,11,SKIP,SKIPPED,,,,,0,radar_block,reason=momentum_too_small conf=0.3466 mom_bps=0.00000000 spread_bps=0.15420000
2026-02-28T14:19:40Z,12,SKIP,SKIPPED,,,,,0,radar_block,reason=momentum_too_small conf=0.3466 mom_bps=0.00000000 spread_bps=0.15420000
